AGTR1	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	CREB1
HRAS	JUN
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
MAPK1	MYC
NFKB1	NFKB2
RAF1	RELA
MAPK1	ATF2
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	ATF4
MAPK1	STAT1
MAPK1	ETS1
SMAD2	E2F4
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	ATF1
PIK3R5	HIF1A
NFKB1	MYB
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PIK3R5	AKT3
AKT3	IRF3
RXRA	RARB
JUN	NFKB1
NFKB1	NOS3
NOS3	CREB1
NFKB1	TP53
JUN	MAPK8
MAPK8	SMAD3
SMAD3	SP1
JUN	TNF
TNF	MTOR
JUN	CCND1
CCND1	RBL1
RBL1	MYC
JUN	RELA
MAPK8	ATF2
NFKB1	CEBPB
NOS3	ATF4
NFKB1	SOCS3
SOCS3	STAT1
MAPK8	ELK1
ELK1	ETS1
RBL1	E2F4
JUN	CDK5
CDK5	PPP1R1B
PPP1R1B	PRKACA
JUN	FOSB
FOSB	HDAC1
HDAC1	RXRA
HDAC1	RXRB
HDAC1	RXRG
ATF2	ATF1
NFKB1	HIF1A
NFKB1	TRAF3
TRAF3	TBK1
NFKB1	TRAF2
TRAF2	IKBKG
IKBKG	IRF3
TCF7L2	MYC
TCF7L1	BIRC5
JUN	CXCL1
CREBBP	TFRC
STAT4	SOCS5
STAT5B	SOCS3
PAX6	PDX1
TP53	SESN1
MYC	VEGFC
FOXO3	CDKN1B
PPARA	ACSBG2
RXRA	APOA5
RXRA	ACSBG2
RXRA	ACOX2
RXRB	ACADM
RXRB	APOC3
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK9	TNF
RFXAP	LOC100507714
MYB	TSC22D3
MYBL1	TSC22D3
SP1	ADA
CREB1	ADRB2
ATF3	ASNS
ATF4	ASNS
SP2	CCND1
SP1	CD14
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
TFAP2A	COL1A1
EGR1	COL2A1
SP3	COL2A1
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
E2F4	DHFR
ERG	HMOX1
ATF1	PLAUR
SP2	PLP1
NFIC	POLE2
CREB1	TIMP1
