HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ETS2
MAPK1	STAT3
PRKCA	PAX8
PAX8	RXRA
RXRA	RARB
PRKCA	HRAS
HRAS	JUN
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	E2F4
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	ETS1
MAPK1	ESR1
MAPK1	ELK1
HRAS	MAPK8
MAPK8	JUND
PRKCA	CREB1
PRKCA	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	TP53
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
SMAD2	YAP1
MAPK1	MYC
MAPK1	STAT1
PRKCA	MTOR
MTOR	HIF1A
PRKCA	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
MAOA	CYP3A4
CYP3A4	CBR1
CBR1	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
PRKCA	RAF1
RAF1	RELA
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PRKACA	PPARA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
RAF1	NFKB1
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
RB1	E2F2
RB1	E2F3
NFKB1	NFKB2
PAX8	RXRB
PAX8	RXRG
MTOR	PPARG
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
LEF1	PPARD
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
CREB3	ATF1
MAPK1	SMAD3
PRKCA	FOS
NFKB1	MYB
MAPK14	MAX
CREB3	FOSB
CREB3	FOSB
CREB3L1	CRH
CREB5	BDNF
ATF6B	ARC
CREB3L4	FOS
ATF4	ARC
CREB3L2	FOS
GLI3	PTCH1
GLI3	HHIP
GLI3	WNT1
GLI3	WNT2
SMAD4	CDKN2B
TFDP1	CCNE2
TFDP2	CCNE2
TP53	GADD45G
JUN	RELA
LEF1	MYC
TCF7	BIRC5
ELK1	XIAP
EGR2	FASLG
EGR3	FASLG
NFATC2	TNF
NFKB1	TNF
MAPK8	JUN
CREB3L2	IL8
CREBBP	ALDOA
CREBBP	FIGF
CREBBP	LDHA
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	BCL2
EP300	ALDOA
EP300	FIGF
EP300	LDHA
EP300	SERPINE1
EP300	ANGPT4
EP300	BCL2
HIF1A	ALDOA
HIF1A	FIGF
HIF1A	LDHA
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	TFRC
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	EGF
ARNT	FIGF
ARNT	LTBR
ARNT	NOS3
ARNT	PFKFB1
ARNT	PFKFB3
ARNT	PFKL
ARNT	PGK1
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	ID1
YAP1	CCND1
YAP1	AREGB
WWTR1	FGF1
WWTR1	BIRC5
SMAD1	ID4
SMAD2	SERPINE1
SMAD4	ID2
LEF1	CCND2
LEF1	CCND3
TCF7	AXIN1
TCF7	CCND2
TCF7	CCND3
TCF7L2	BIRC2
TCF7L2	AXIN2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
STAT5A	SOCS5
PAX6	PDX1
HNF1A	HNF4G
CREB1	MITF
CREB3L2	MITF
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R2	AKT3
PIK3R2	AKT1
BBC3	TP53
TP53	CD82
EPAS1	TGFB1
ETS1	MMP1
FOS	CDK4
FOS	VEGFB
HIF1A	PDGFB
MAX	CKS1B
MYC	CDK4
NFKB1	TRAF5
NFKB2	TRAF5
NFKB2	BIRC7
RELA	NOS2
CREB3	BCL2
FOXO3	RBL2
CREB3L1	MCL1
PPARA	DBI
PPARA	FABP1
PPARA	ACSL3
PPARA	LPL
PPARD	CPT1B
PPARD	UCP1
PPARG	ACSL1
PPARG	ACSL4
PPARG	ACSL6
PPARG	PLIN1
RXRA	CYP7A1
RXRA	ACSL3
RXRA	ACSL6
RXRA	ME1
RXRA	OLR1
RXRA	PCK1
RXRA	ANGPTL4
RXRB	APOC3
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA21
NFKB1	CEBPB
NFKB1	IL23A
NFYB	LOC101060835
NFYB	HLA-DMA
NFYB	HLA-DRB1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK3	IL18
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK9	IL18
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
MAPK10	IL18
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXANK	HLA-DMA
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
SP1	CDK1
SP1	CDKN1C
SP3	ABCA1
USF1	ABCA1
CEBPA	ABCB1
