AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREB1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	ATF1
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	MAPK1
MAPK1	MYC
MAPK1	JUN
TP53	GADD45A
JUN	CCND2
CREB3	PCNA
ATF6B	IL8
EGR2	FASLG
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	ENO1
CREBBP	ALDOA
CREBBP	TFRC
CREBBP	VEGFB
EP300	ENO1
EP300	ALDOA
EP300	TFRC
EP300	VEGFB
HIF1A	ENO1
HIF1A	ALDOA
MAPK3	CDK4
RBPJ	PTCRA
JUN	FIGF
ATF4	BCL2
PPARD	ACADL
RXRA	CYP27A1
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK1	NOS2
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DQA1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
ELK1	CCT8
USF2	CEACAM6
ATF1	CGA
ATF2	CGA
ETS1	CSNK2A1
NFIC	CYP11A1
SP1	CYP11A1
SP1	DKC1
ESR2	EGFR
NFKB2	EGFR
PPARG	EGFR
SP1	EGFR
CREB1	F3
JUN	NFKB2
MYBL2	RBL1
SP1	RELA
RARA	S100A8
RARB	S100A9
MYBL2	SP1
USF2	SP1
POU2F1	SPP1
SP1	TAF7
CREB1	TIMP1
FOS	TIMP1
STAT1	TIMP1
CEBPA	TK1
MYC	TP53
HIF1A	TP53
STAT1	TP53
SP1	TPI1
