HNMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
PRKCA	HRAS
HRAS	JUN
MAPK1	ETS1
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	RAF1
RAF1	NFKB1
MAPK1	TP53
TP53	TP73
PRKCA	PRKACA
PRKACA	XBP1
XBP1	CEBPA
PRKCA	CREB1
HRAS	MAPK14
MAPK14	CEBPB
SMAD2	YAP1
MAPK1	STAT3
MAPK1	MYC
PRKACA	PPARA
MAPK1	ESR1
SMAD2	WWTR1
RAF1	RELA
NFKB1	MYB
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
GLI3	WNT5A
TP53	GADD45G
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
CREB1	PER1
CREB1	PER3
ARNTL	CRY1
ARNTL	CRY2
ARNTL	RORA
ARNTL	RORB
ARNTL	BHLHE41
RBPJ	FCER2
CTNNB1	CCND3
ELK1	CCND2
JUN	CCND2
ATF6B	IL8
RELA	IL6
STAT1	MYD88
CREB3L3	IL8
CREBBP	ENO1
CREBBP	PFKL
CREBBP	TEK
CREBBP	TFRC
EP300	ENO1
EP300	PFKL
EP300	TEK
EP300	TFRC
HIF1A	ENO1
HIF1A	TEK
HIF1A	TIMP1
ARNT	ENO1
ARNT	ANGPT2
ARNT	HK2
YAP1	ID2
YAP1	ID4
YAP1	AXIN1
YAP1	NKD1
WWTR1	ITGB2
WWTR1	SERPINE1
SMAD2	CTGF
TEAD4	AXIN2
CREB3L4	MITF
EP300	MITF
RELA	CCL4L1
RBPJL	HES5
BBC3	TP53AIP1
TP53	RPRM
TP53	RRM2
ETS1	VEGFC
FOXO3	G6PC2
PPARD	CPT1A
RXRA	CYP4A11
MYD88	IFNA7
NFKB1	CEBPG
NFYB	HLA-DOB
NFYC	HLA-DMB
NFYC	HLA-DOA
NFYC	HLA-DQA2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	NOS2
RFX5	CD74
RFXAP	LOC100507709
RFXAP	LOC100509457
RFXAP	HLA-DMA
RFXAP	CD74
SP3	ABCA1
USF1	CCNB1
USF2	CCNB1
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM6
ATF1	CGA
USF2	CTSB
SP1	CTSL
SP1	DKC1
SP3	DKC1
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	MT1A
BCL3	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
MYC	NME1
MYC	NME2
JUN	NPPA
JUND	NQO1
HIF1A	NR4A1
MYC	NRAS
CREB1	NRAS
MYB	NRAS
PPARG	PTGS2
MYC	PTMA
TP53	PTTG1
MYBL2	RBL1
RARA	S100A8
NFIC	SFTPC
WT1	SOD1
MYBL2	SP1
POU2F1	SPP1
HOXA4	TH
USF2	THBS1
CREB1	TIMP1
STAT1	TIMP1
SMAD4	TNNC1
CEBPB	TOP1
MYC	TP53
STAT1	TP53
SMAD3	ZFP36
