TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	SMAD3
ADCY1	PRKACA
PRKACA	PPARA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
PRKACA	MAPK1
MAPK1	MYC
MAPK1	SMAD2
PRKACA	EP300
CREBBP	ARNT
MAPK8	ELK1
ELK1	EGR1
EGR3	FASLG
CREBBP	FIGF
EP300	FIGF
HIF1A	FIGF
ARNT	ANGPT4
ARNT	PFKFB1
HNF1A	HNF4G
PIK3R2	AKT3
PIK3R3	AKT3
ETS1	VEGFA
AR	KLK3
NFKB1	NOS2
RXRA	AQP7
RXRA	SLC27A1
NFYB	HLA-DPA1
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
USF1	CTSB
TFAP2A	ERBB2
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
RARG	S100A9
TFAP2A	TAF7
ATF1	TNF
CREB1	TRH
