ATF6B	BDNF
CREB3L4	CRH
NR3C2	ATP1A4
NR3C2	ATP1B3
CREB3L1	PDYN
CREB5	FOS
NFKB1	BCL2L1
NFKB1	BIRC7
GLI1	WNT16
GLI1	PTCH1
GLI1	WNT5A
GLI1	WNT6
GLI1	WNT9A
GLI1	WNT10A
GLI2	PTCH1
GLI2	HHIP
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
MAPK11	IL8
RBPJL	FCER2
ELK1	BIRC2
CREB3	IL8
CREB1	IL8
CREB1	PCNA
EP300	FASLG
IRF7	IFNB1
RELA	MMP9
CREB3L1	IL8
CREB5	PCNA
CREBBP	CDKN1A
CREBBP	FLT1
CREBBP	ANGPT2
CREBBP	PGF
CREBBP	VEGFA
CREBBP	HKDC1
EP300	CDKN1A
EP300	FLT1
EP300	ANGPT2
EP300	PGF
EP300	VEGFA
EP300	HKDC1
HIF1A	CDKN1A
HIF1A	FLT1
HIF1A	ANGPT2
HIF1A	PFKFB4
HIF1A	PFKL
SOS1	SPRED2
SOS1	BCL2L1
SOS1	SPRY4
SOS2	CCND2
SOS2	CCND3
STAT1	SOCS7
STAT1	MYC
STAT1	CCND3
STAT1	SOCS3
STAT4	SOCS1
STAT5B	CCND1
CREB3L3	MITF
VDR	ATP2B1
RELA	TRAF1
PIK3R5	AKT1
PIK3CA	AKT2
PIK3CD	PDPK1
TP53	TP53I3
NFKB1	VEGFA
EPAS1	TGFB2
FOS	IL8
JUN	MMP1
MYC	CKS1B
MYC	MMP1
MYC	MMP2
NFKB1	TRAF6
RELA	CCND1
RELA	TRAF4
ATF2	MCL1
NFKB1	MYB
PPARA	ACSL4
PPARA	ACAA1
PPARA	ANGPTL4
PPARD	ILK
PPARG	GK
PPARG	LPL
PPARG	SCD5
RXRA	DBI
RXRA	PLIN1
RXRA	SCP2
RXRA	SCD5
RXRB	NR1H3
RXRB	CPT1C
RXRB	CPT1B
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	EHHADH
RXRB	ACSL4
RXRB	GK
RXRB	ACAA1
RXRB	ACADL
RXRB	APOA2
RXRB	SLC27A1
RXRB	ACOX1
RXRB	UCP1
RXRB	ACOX2
RXRB	CD36
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1B
RXRG	ADIPOQ
EGR1	CCL5
MAPK8	IL8
MAPK10	IL8
MAX	CCND1
SMAD2	PITX2
SMAD4	PITX2
SMAD5	ID3
SMAD9	ID3
SP1	CDKN2B
FOS	IL12A
FOS	CCL3
FOS	CCL4
FOS	CCL4L1
IRF3	CD80
IRF3	CD40
IRF5	IL8
IRF5	CCL3
IRF5	CCL5
IRF7	IFNA2
IRF7	IFNA7
NFYA	LOC101060835
NFYB	HLA-DOB
RFX5	HLA-DQA1
RFX5	HLA-DQB1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
PPARG	SAT1
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
HIF1A	ADM
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C3
NFIC	ALAS1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
USF1	APEX1
EGR1	APOA1
SP3	APOA1
USF1	APOA2
USF2	APOA2
CEBPA	APOB
PPARA	APOB
ATF2	APOC3
GLI1	BCL2
ATF1	BCL2
CEBPA	BCL2
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
RARB	CRABP2
ATF1	ERBB2
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
ATF1	GH2
CREB1	GH2
NFIC	GH2
POU2F2	HLA-DRA
ATF2	HLA-E
ATF1	IL1B
CEBPB	IL1B
ETS2	IL5
POU2F1	IL5
CREB1	JUN
ERG	JUN
SMAD3	JUN
SMAD4	JUN
SP1	KRT5
SP1	LCAT
EGR1	LHB
SP3	LHB
ETS1	LYZ
MYB	MAT2A
HIF1A	MDK
JUN	MGP
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
NFKB1	PPP2R4
CEBPB	PTGS2
ESR1	PTMA
PPARD	RELA
CREB1	REN
SP1	RPL10
TP53	S100B
SPI1	SCARB1
ETS1	SLC26A3
USF1	SP1
ETS1	SPP1
ETS2	SPP1
CEBPA	TF
JUN	TFF1
HOXA5	TH
ETV4	TIMP1
JUNB	TIMP1
JUND	TIMP1
ATF2	TNF
EGR1	TNF
SP3	TNNC1
FOS	TP53
NFIC	TP53
NFKB1	TP53
STAT3	TRH
SP1	TTR
ETS1	VWF
ETS2	VWF
