NR3C2	KRAS
KRAS	JUN
KRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
KRAS	MAPK1
MAPK1	ESR1
MAPK1	SMAD2
SMAD2	YAP1
MAPK1	CREB3
CREB3	ATF1
MAPK1	SMAD4
MAPK1	SMAD1
MAPK1	MYC
KRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	SMAD5
MAPK1	SMAD9
SMAD4	LEF1
LEF1	PPARD
KRAS	RAF1
RAF1	NFKB1
RAF1	RELA
SMAD2	SP1
AR	PRKACA
PRKACA	MAPK1
MAPK1	JUN
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	NFKB1
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	ATF1
PRKACA	CTNNB1
CTNNB1	LEF1
PRKACA	RELA
CREBBP	SP1
PGR	MAPK8
MAPK8	JUN
PGR	PIK3R5
PGR	MAPK14
MAPK14	MAPK1
MAPK8	SMAD3
SMAD3	YAP1
PGR	PRKACA
MAPK8	SMAD4
SMAD3	SMAD1
PIK3R5	GSK3B
GSK3B	MYC
SMAD4	SMAD5
SMAD4	SMAD9
MAPK8	NFKB1
MAPK8	RELA
SMAD3	SP1
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
CYP11B2	HSD17B6
HSD17B6	DGAT1
DGAT1	PPAP2A
PPAP2A	PRKCE
PRKCE	PPP1CA
PPP1CA	YAP1
PRKCA	CREB3
PRKCA	MAPK1
STAT3	MYC
PRKCA	PRKACA
PRKCA	RAF1
ESR1	SP1
SRD5A1	UGT2B11
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	JUN
OGT	NR1H3
NR1H3	RXRA
UGT2B11	CYP2E1
SRD5A1	AKR1C2
AKR1C2	CHRNA7
SRD5A1	HSD17B6
OGT	GSK3B
GSK3B	CTNNB1
AKT3	NFKB1
AKT3	RELA
SRD5A2	UGT2B11
SRD5A2	AKR1C2
SRD5A2	HSD17B6
SRD5A3	UGT2B11
SRD5A3	AKR1C2
SRD5A3	HSD17B6
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	PIK3R5
HRAS	MAPK1
RASGRP3	RAP1A
RAP1A	PRKD1
PRKD1	ATF1
HRAS	PLCE1
HRAS	RAF1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	HRAS
CACNA1C	INS
INS	NR1H3
CALML6	CAMK2A
CAMK2A	CREBBP
INS	MAPK1
CAMK2A	ATF1
CALML6	ADCY1
ADCY1	PRKACA
CREBBP	LEF1
MAPK1	NFKB1
MAPK1	RELA
CACNA1D	CALML6
CACNA1D	INS
CACNA1F	RASGRP3
CACNA1F	PLCD3
PLCD3	PIK3R5
PLCD3	PRKCA
CACNA1S	RASGRP3
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	PIK3R5
INS	IGF1R
IGF1R	PRKACA
CACNA1A	PRKCA
CACNA1G	CALML6
CACNA1G	INS
CACNA1H	CALML6
CREBBP	RXRA
CACNA1H	NOS1
NOS1	MAPK1
CACNA1I	CALML6
CACNA1I	NOS1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	VEGFB
ARNT	EPO
ARNT	NOS2
ARNT	PFKFB4
STAT4	CCND1
STAT5B	MYC
RBPJL	HES1
TP53	PIDD
EPAS1	SLC2A1
ETS1	FIGF
ETS1	MMP2
HIF1A	TGFB1
NFKB2	TRAF6
IRF1	IL12B
CREB1	MCL1
CREB1	BCL2
PPARA	EHHADH
PPARA	APOC3
PPARA	ME1
PPARA	ACOX1
PPARG	ACSL3
PPARG	ANGPTL4
PPARG	SCD
PPARG	UCP1
RXRA	MMP1
RXRA	PCK2
NFYB	HLA-DMA
LEF1	ADA
NFIC	ADA
USF1	FBP1
PAX5	FCER2
CEBPA	FN1
ETS1	VWF
ETS2	VWF
