TUBB	ARHGEF2
ARHGEF2	RHOA
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
RHOA	MAPK8
MAPK8	TP53
AKT3	MTOR
MTOR	PPARG
MAPK8	SMAD3
SMAD3	SP1
MAPK8	JUN
RAF1	MAPK1
MAPK1	ETS1
SMAD3	E2F4
MAPK8	ATF2
ATF2	ATF1
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
RAF1	NFKB1
NFKB1	HIF1A
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	ESR1
SMAD3	CREBBP
SMAD3	EP300
HIF1A	ARNT
RAF1	RELA
NFKB1	CEBPB
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
AKT3	CREB3
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
GLI3	BMP2
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
NFKB1	TNF
CREBBP	SERPINE1
EP300	SERPINE1
HIF1A	SERPINE1
STAT4	SOCS2
STAT5B	SOCS1
JUN	VEGFC
MYC	MMP2
NFKB2	TRAF1
ATF2	MCL1
PPARA	CYP4A11
PPARA	ANGPTL4
PPARG	CPT1B
PPARG	SCD5
RXRB	ANGPTL4
RXRG	GK2
RXRG	LPL
RXRG	SCD
JUN	IL12B
NFKB1	CCL3
CREB1	LOC100507709
NFKB1	IL23A
MAPK3	IL18
MAPK10	IL12B
MAPK12	IL6
ELK1	TWF2
ETS2	TWF2
FLI1	POLR2A
NFIC	ADA
SP1	CCND1
ELK1	CCT8
EGR1	COL2A1
SP3	COL2A1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	HMOX1
NFIC	HMOX1
PPARA	MMP9
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
PPARA	SERPINE1
JUN	TFRC
ERG	TNNC1
HIF1A	VHL
