HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	TP53
MAPK1	CREB1
MAPK1	MYC
MAPK1	ELK1
ELK1	EGR1
ITGAL	SRC
SRC	HRAS
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
ITGAL	PTK2
PTK2	MAPK1
STAT3	MYC
HDAC2	CTBP1
CTBP1	LEF1
LEF1	JUN
HDAC2	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	SP1
JUN	NFKB1
JUN	RELA
CREBBP	TP53
CREBBP	CREB1
HDAC2	RBPJL
RBPJL	MYC
HDAC2	THRB
THRB	GATA4
GATA4	SRF
SRF	ELK1
STAT4	CCND3
STAT5B	CCND2
RXRG	FABP4
IRF7	IFNA10
MAPK9	NOS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CAV1
USF2	CEACAM6
ATF1	CGA
ESR1	FOS
ETS2	FOS
ERG	HMOX1
