TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	RAF1
RAF1	AKT3
AKT3	CREB1
RAF1	NFKB1
NFKB1	HIF1A
RHOA	MAPK8
MAPK8	FOS
MAPK8	JUN
MAPK8	SMAD3
SMAD3	CREBBP
SMAD3	EP300
HIF1A	ARNT
MAPK8	JUND
MAPK8	TP53
SMAD3	E2F4
RAF1	MAPK1
MAPK1	ETS1
MAPK8	ATF2
RAF1	RELA
AKT3	CREB3
AKT3	ATF6B
AKT3	ATF4
AKT3	CREB3L2
AKT3	CREB3L1
AKT3	CREB5
SMAD3	SP1
ATF2	ATF1
MAPK1	ESR1
MAPK1	MYC
BCL2	TP53
TP53	PTEN
PTEN	AKT3
PTEN	PIK3R5
PIK3R5	HIF1A
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	MAPK8
AKT3	JUN
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
TP53	CDKN1A
CDKN1A	CCND1
CCND1	RBL1
RBL1	E2F4
THBS1	PTK2
PTK2	MAPK1
AKT3	ATF2
MAP3K1	RELA
MAP3K1	NFKB1
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
PRKACA	ATF1
YAP1	MYC
CREB3L3	FOSB
CREB3L1	CRH
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB1	PCNA
NFKB1	TNF
CREBBP	CDKN1A
CREBBP	SERPINE1
EP300	CDKN1A
EP300	SERPINE1
HIF1A	CDKN1A
HIF1A	SERPINE1
STAT4	CCND3
STAT5B	CCND2
PAX6	GCK
NFKB1	IL23A
MAPK1	IL18
MAPK10	IL12B
RFXAP	HLA-DMB
SP1	CDKN1C
USF2	ABCA1
SP1	CD14
ATF4	CGA
CREB1	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP3	COL2A1
PAX5	FCER2
CEBPA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
E2F1	HIST1H2AM
RELA	IL2
REL	IL2RA
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RPL10
PPARA	SERPINE1
ETS2	SPP1
JUN	TFRC
JUND	TIMP1
ERG	TNNC1
NFKB1	TP53
HIF1A	VHL
