ADRA1B	GNAQ
GNAQ	DVL1
DVL1	NOTCH1
NOTCH1	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
GNAQ	HRAS
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	RAF1
RAF1	NFKB1
HRAS	JUN
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
HRAS	MAPK1
MAPK1	STAT1
STAT1	MYD88
MAPK1	SMAD2
SMAD2	SP1
NPAS2	PER2
STAT1	SOCS3
STAT3	VEGFA
FOS	MMP1
JUN	PGF
MAX	CKS1B
NFKB1	TRAF4
NFKB2	XIAP
NFKB2	TRAF5
RELA	MYB
CREB5	MCL1
PPARA	DBI
PPARD	LPL
PPARD	ACOX3
PPARG	ACSL1
RXRA	EHHADH
RXRB	DBI
RXRB	FABP1
RXRB	FABP3
RXRB	CYP4A22
RXRG	CPT1A
RXRG	CYP4A11
RXRG	CYP7A1
MAPK8	IL12A
CREB3L3	AQP2
MYB	TSC22D3
MYBL1	TSC22D3
REL	CSF2
BRCA1	PCNA
