NR3C2	KRAS
KRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
KRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PRKACA	PPARA
AR	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
PGR	PRKACA
PGR	PIK3R5
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	PRKACA
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
SRD5A1	UGT2B11
UGT2B11	CYP2E1
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	CRTC2
CRTC2	CREBBP
CRTC2	EP300
SRD5A1	AKR1C2
AKR1C2	CHRNA7
SRD5A2	UGT2B11
SRD5A2	AKR1C2
SRD5A3	UGT2B11
SRD5A3	AKR1C2
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	PLCE1
HRAS	PIK3R5
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	CALML6
CALML6	ADCY1
ADCY1	PRKACA
CALML6	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
CACNA1C	INS
INS	PIK3R5
CACNA1D	CALML6
CACNA1D	INS
CACNA1F	PLCD3
PLCD3	PRKCA
PLCD3	PIK3R5
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	IGF1R
IGF1R	PRKACA
CACNA1A	PRKCA
PRKCA	MTOR
MTOR	HIF1A
CACNA1G	CALML6
CACNA1G	INS
CACNA1H	CALML6
CACNA1H	PLCD3
CACNA1I	CALML6
CACNA1I	PLCD3
CREB3L4	PCNA
ATF4	IL8
CREBBP	EPO
CREBBP	HK2
EP300	EPO
EP300	HK2
HIF1A	EPO
HIF1A	HK2
ETS1	MMP2
NFYC	LOC100507714
NFYC	HLA-DRA
NFYC	HLA-DRB1
ETV4	ERBB2
RARA	S100A9
SPI1	SERPINB1
NFIC	STMN1
JUN	TFPI2
E2F4	TK1
ELK1	TNF
WT1	TP53
POU2F1	TXNRD1
