HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	MYC
MAPK1	SMAD2
SMAD2	SP1
SMAD2	YAP1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
SMAD2	WWTR1
MAPK1	ESR1
MAPK1	CREB1
MAPK1	ELK1
ELK1	EGR1
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	SMAD4
HRAS	JUN
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
PIK3R5	MTOR
MTOR	PPARG
CREBBP	EPAS1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	SMAD3
MAPK1	ATF2
SMAD4	LEF1
LEF1	PPARD
MAPK1	CREB3
CREB3	ATF1
MAPK1	STAT1
STAT1	MYD88
NFKB1	NFKB2
NR3C2	ATP1A4
NR3C2	ATP1B3
NFKB1	CCL5
MAPK12	IL8
EGR3	FASLG
SMAD3	MYC
CREBBP	FIGF
CREBBP	HK1
EP300	FIGF
EP300	HK1
HIF1A	FIGF
HIF1A	HK1
HIF1A	SLC2A1
HIF1A	HKDC1
ARNT	EGF
ARNT	ANGPT1
ARNT	LDHA
ARNT	PFKFB1
ARNT	PGF
ARNT	PGK1
SOS1	SPRED3
STAT4	CCND3
STAT5A	SOCS1
STAT5B	CCND2
STAT6	PIM1
HNF1A	HNF4G
RBPJ	HES5
TP53	SERPINE1
TP53	SERPINB5
TP53	BAX
EPAS1	PGF
MYC	VEGFB
NFKB2	TRAF3
FOXO3	BCL2L11
PPARA	CYP8B1
PPARA	SCD5
PPARG	FABP4
RXRA	SLC27A4
RXRB	ACSBG1
RXRG	DBI
NFYA	HLA-DQA1
NFYB	HLA-DRB1
MAPK1	TNF
MAPK13	TNF
RELA	CEBPB
RELA	IL1A
RELA	IL18
RFX5	HLA-DRB4
RFX5	HLA-DRB5
RFXAP	LOC100507709
CEBPA	ABCB1
CEBPB	ABCB1
USF1	APOC3
PPARG	APOE
USF1	APOE
TP53	CAV1
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
USF1	CTSB
USF2	CTSB
SP1	CTSL
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
USF1	FBP1
POU2F1	HIST2H2BE
ETS2	IL5
POU2F1	IL5
ATF1	PPP2R4
ATF2	PTGS2
RARG	S100A9
SPI1	SCARB2
TFAP2A	TAF7
EGR1	TFPI2
ATF1	TNF
EGR4	TNF
CREB1	TRH
JUN	TXN
ATF6	XBP1
