HTR1A	GNAI1
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
RXRA	RARB
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
GNAI1	HRAS
HRAS	JUN
SMAD2	E2F4
MAPK1	NFKB1
MAPK1	TP53
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	ETS1
SMAD2	YAP1
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ELK1	CCND1
CREB3L2	PCNA
CREBBP	SLC2A1
EP300	SLC2A1
ARNT	EDN1
ARNT	EPO
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
SMAD4	CTGF
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CD9
E2F4	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
NFKB1	CYP11A1
SP1	CYP11A1
STAT5A	EGFR
STAT5B	EGFR
E2F1	HIST1H2AM
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
USF2	PTPN6
SP1	SOD1
USF1	THBS1
E2F4	TOP1
