AR	PRKACA
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	JUN
MAPK1	FOS
PRKACA	RELA
PRKACA	CREB1
PRKACA	ATF1
NFKB1	HIF1A
PRKACA	CREBBP
CREBBP	SP1
NFKB1	TP53
PRKACA	EP300
CREBBP	ARNT
PRKACA	MAPK8
MAPK8	JUND
MAPK1	ETS1
ATF6B	FOS
ATF4	FOS
TP53	CDKN1A
EP300	FASLG
MAPK10	JUN
CREBBP	FLT1
CREBBP	PFKFB3
EP300	FLT1
EP300	PFKFB3
HIF1A	FLT1
HIF1A	PFKFB3
STAT5A	MYC
STAT6	SOCS7
VDR	ATP2B1
RXRA	SCD
RXRB	ACSL6
RXRB	HMGCS2
RXRB	APOA1
RXRG	EHHADH
IRF7	IFNA8
NFYB	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
SP1	CD14
ETS1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
SPI1	CHI3L1
USF1	CHI3L1
JUN	COL1A1
MYBL2	COL1A1
NFIC	COL1A1
POU2F2	HLA-DRA
ATF2	HLA-E
ATF2	INS
SP1	ITGA2
TAL1	NFKB1
TP53	S100B
JUN	SFTPA1
CEBPA	TF
CREB1	TH
ATF2	TNF
SMAD2	TNNC1
STAT3	TRH
ERG	VWF
