HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
MAPK1	ESR1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
MAPK1	SMAD3
SMAD2	YAP1
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	MYC
MAPK1	SMAD4
SMAD4	LEF1
LEF1	PPARD
PIK3R5	MTOR
MTOR	PPARG
SMAD2	WWTR1
HRAS	JUN
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	E2F4
CREBBP	EPAS1
MAPK1	ELK1
ELK1	EGR1
MAPK1	STAT3
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
NFKB1	MYB
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	CREB1
MAPK1	ETS1
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	ESR2
HRAS	FOS
HRAS	MAPK14
MAPK14	MAX
NFKB1	NFKB2
PRKACA	XBP1
XBP1	CEBPA
MAPK1	CREB3
CREB3	ATF1
MAPK1	ATF2
HRAS	MAPK3
MAPK1	MITF
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	CREM
ITGB2	PTK2
PTK2	MAPK1
ITGB2	PIK3R5
CREBBP	SP1
ITGB2	SRC
SRC	STAT3
STAT3	ESR1
PIK3R5	PLCE1
PIK3R5	AKT3
AKT3	PPP1CA
PPP1CA	YAP1
AKT3	NFKB1
AKT3	RELA
PIK3R5	GSK3B
GSK3B	MYC
SRC	CTNNB1
CTNNB1	LEF1
PPP1CA	WWTR1
AKT3	JUN
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
STAT3	STAT1
EGFR	SOS1
EGFR	SOS2
AKT3	CREB1
STAT3	ESR2
PIK3R5	HRAS
PTK2	MAPK14
AKT3	CHUK
CHUK	NFKB2
AKT3	CREB3
AKT3	ATF2
PTK2	MAPK3
JUP	MYC
JUP	CCND1
GLI3	PTCH1
GLI3	BMP2
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER3
CREB1	PER2
ARNTL	CRY1
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORA
ARNTL	RORB
ARNTL	RORC
ARNTL	BHLHE41
CLOCK	PER2
FOSB	NFKB1
MYC	CCND1
MAPK14	CXCL1
ELK1	BIRC2
ELK1	BIRC3
JUN	CCND2
EGR3	FASLG
NFATC2	TNF
NFATC4	TNF
NFKB1	TNF
RELA	MMP9
RELA	TNF
CREB3L3	IL8
CREBBP	FIGF
CREBBP	LDHA
CREBBP	NOS2
CREBBP	SERPINE1
CREBBP	PGF
CREBBP	PGK1
CREBBP	TFRC
EP300	FIGF
EP300	LDHA
EP300	NOS2
EP300	SERPINE1
EP300	PGF
EP300	PGK1
EP300	TFRC
HIF1A	FIGF
HIF1A	LDHA
HIF1A	NOS2
HIF1A	SERPINE1
HIF1A	PGK1
HIF1A	BCL2
HIF1A	SLC2A1
HIF1A	TIMP1
ARNT	EDN1
ARNT	EGF
ARNT	ENO1
ARNT	FLT1
ARNT	GAPDH
ARNT	ANGPT1
ARNT	HK2
ARNT	LDHA
ARNT	SERPINE1
ARNT	ANGPT4
ARNT	PDK1
ARNT	PFKFB1
ARNT	PFKFB2
ARNT	PGK1
YAP1	BIRC2
YAP1	ID2
YAP1	ID3
YAP1	ID4
YAP1	SNAI2
YAP1	AXIN1
YAP1	AXIN2
YAP1	NKD1
WWTR1	BBC3
WWTR1	ITGB2
WWTR1	AREG
WWTR1	SERPINE1
SMAD4	ID3
SMAD4	ID4
SMAD4	SERPINE1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
