DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
RAPGEF3	MAPK14
MAPK14	CEBPB
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	ATF2
PRKACA	NFKB1
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
MAPK14	MAX
MAPK8	TP53
TP53	TP73
PRKACA	RELA
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
MAPK8	SMAD3
SMAD3	E2F4
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	PPARG
PTK2B	RAC1
RAC1	MAPK1
MAPK1	JUN
RAC1	NFKB1
NFKB1	CEBPB
MAPK1	CREB1
MAPK1	ATF2
MAPK1	MYC
PTK2B	SRC
SRC	STAT3
RAC1	MAPK14
NFKB1	TP53
RAC1	RELA
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	SMAD2
SMAD2	E2F4
NFKB1	PPP2CA
PPP2CA	YAP1
STAT3	PPARGC1A
PPARGC1A	PPARA
RAC1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	MTOR
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
CREB3L3	FOSB
CREB3L1	CRH
CREB3L1	BDNF
ATF6B	ARC
ATF4	ARC
TFDP2	CCNE2
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
HIF1A	TEK
HIF1A	TFRC
SMAD2	CTGF
PAX6	GCK
MAPK1	CDK4
PIK3R1	AKT1
PIK3R2	AKT3
ETS1	VEGFB
FOS	CDK4
NFKB1	CCND1
NFKB1	TRAF5
FOXO3	PCK1
FOXO3	RBL2
PPARA	FADS2
PPARD	CPT1B
RXRA	CPT1B
RXRA	CYP7A1
MAPK1	IL1B
MAPK1	IL18
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
SP1	CD9
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
NFKB1	CSF1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
USF1	CTSB
SP3	CTSL
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
RELA	IL2
REL	IL2RA
STAT3	IL2RA
TP53	IL8
CEBPA	ITGA2
SPI1	NFKB1
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SMAD3	ZFP36
