TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PRKACA	MAPK1
MAPK1	ETS2
MAPK1	ETS1
MAPK1	ESR1
PRKACA	CREB1
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK8	JUND
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK8	TP53
MAPK1	MYC
PRKACA	XBP1
XBP1	CEBPA
PRKACA	RELA
MAPK8	ELK1
PRKACA	PPARA
PRKACA	ATF1
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	MAPK3
MAPK8	FOS
LEF1	PPARD
NFKB1	NFKB2
PRKACA	ATF2
ELK1	SPI1
MAPK1	STAT3
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
RXRA	RARB
MAPK1	STAT1
RAPGEF3	MAPK14
MAPK14	CEBPB
MAPK8	SMAD3
SMAD3	SMAD7
MAPK14	MAX
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
NFKB1	MYB
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	CREM
CREB3L3	FOSB
CREB3L1	CRH
CREB3L1	NPY
TP53	GADD45G
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
MYC	CCND1
TCF7L2	BIRC5
TCF7L2	CCND1
ELK1	XIAP
JUN	CCND2
CREB1	PCNA
CREBBP	FASLG
ATF6B	IL8
NFKB1	TNF
CREB3L2	IL8
CREB3L3	IL8
CREBBP	CDKN1A
CREBBP	EGF
CREBBP	ENO1
CREBBP	SERPINE1
CREBBP	BCL2
CREBBP	TFRC
EP300	CDKN1A
EP300	EGF
EP300	ENO1
EP300	SERPINE1
EP300	BCL2
EP300	TFRC
HIF1A	CDKN1A
HIF1A	EGF
HIF1A	ENO1
HIF1A	SERPINE1
HIF1A	VEGFC
ARNT	ENO1
YAP1	ID4
YAP1	NKD1
WWTR1	SERPINE1
TCF7	SOX2
TCF7L2	AXIN1
TEAD1	BIRC5
TEAD4	AXIN2
FOXO1	PCK1
STAT3	SOCS2
STAT3	CCND2
STAT3	CCND3
STAT3	SOCS5
STAT4	CCND3
STAT5B	CCND2
PAX6	PDX1
HNF1A	HNF4A
TCF7	MITF
MAPK1	CCND1
MAPK3	CDK4
RELA	PTGS2
RELA	CCL4
RELA	CCL4L1
RELB	CCL19
RELB	CXCL12
PIK3CD	AKT3
PIK3R1	PDPK1
PIK3R2	PDPK1
RBPJL	HES5
BBC3	TP53AIP1
TP53	IGFBP3
TP53	STEAP3
TP53	RPRM
TP53	RRM2
EPAS1	TGFA
EPAS1	VEGFC
FOS	FIGF
HIF1A	TGFB1
JUN	FIGF
NFKB2	TRAF4
IRF8	IL12A
CREB1	BCL2
ATF4	MCL1
ATF4	BCL2
PPARA	ACSL1
PPARA	APOA1
PPARA	ACOX1
PPARD	FABP3
PPARD	ACADL
PPARG	ACSBG1
PPARG	OLR1
PPARG	UCP1
RXRA	CYP8B1
RXRA	CYP27A1
RXRA	GK
RXRA	GK2
RXRA	ACADL
RXRA	APOA2
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MYD88	IFNA6
MYD88	IFNA10
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA21
NFYA	HLA-DQA1
NFYB	HLA-DRB1
NFYC	HLA-DMB
NFYC	HLA-DOA
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK1	IL18
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	IL18
RFX5	HLA-DQA2
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
MYBL2	CDKN1C
NFIC	TINAGL1
NFKB1	REL
POU2F1	REL
SP1	COL4A2
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
SP3	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
CREB1	ADRB2
ATF1	AQP3
CREB1	AQP3
CREB1	ARG1
SP1	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
SP1	CDKN1A
