DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
JAK2	STAT3
STAT3	MYC
MYC	ZBTB17
MYC	PIAS2
TP53	TP73
PRKACA	NFKB1
PRKACA	RELA
NFKB1	NFKB2
CREBBP	SP1
MAPK8	JUN
NFKB2	RELB
STAT3	FOXO3
STAT3	ESR1
PRKACA	XBP1
XBP1	CEBPA
MAPK8	SMAD4
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	PPARA
PRKACA	MAPK1
MAPK1	ETS1
PTK2B	RAC1
RAC1	NFKB1
NFKB1	TP53
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
NFKB1	HIF1A
HIF1A	ARNT
RAC1	MAPK1
MAPK1	MYC
RAC1	RELA
MAPK1	SMAD2
SMAD2	SP1
MAPK1	JUN
MAPK1	FOXO3
MAPK1	ESR1
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
MAPK1	SMAD4
NFKB1	PPP2CA
PPP2CA	YAP1
SRC	STAT3
STAT3	PPARGC1A
PPARGC1A	PPARA
CREB3L3	BDNF
CREB5	CRH
CREB5	FOSB
CREB3L4	ARC
CREB3L4	PDYN
CREB3L2	ARC
CREB3L2	PDYN
GLI2	WNT10A
GLI3	PTCH1
GLI3	BMP4
ARNTL	NR1D1
RBPJ	FCER2
CTNNB1	CCND3
CREB1	PCNA
EGR2	FASLG
FOS	MMP9
NFATC3	TNF
RELA	IL6
CREBBP	CDKN1A
CREBBP	ALDOA
CREBBP	GAPDH
CREBBP	LTBR
CREBBP	PFKL
EP300	CDKN1A
EP300	ALDOA
EP300	GAPDH
EP300	LTBR
EP300	PFKL
HIF1A	CDKN1A
HIF1A	ALDOA
HIF1A	GAPDH
HIF1A	LTBR
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	TEK
SMAD2	CTGF
STAT4	CCND1
STAT5B	SOCS4
STAT5B	SOCS7
STAT5B	MYC
STAT6	CCND3
STAT6	SOCS3
MITF	TYR
MITF	TYRP1
RELA	PTGS2
PIK3CD	AKT3
TP53	FAS
TP53	PMAIP1
TP53	PERP
NFKB1	FIGF
RXRA	APOC3
RXRA	ILK
RXRA	ACSL5
MAPK3	IL12A
MAPK3	IL12B
RFX5	HLA-DPA1
RFX5	HLA-DPB1
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
SP1	CAV1
TP53	CAV1
ATF2	CGA
USF1	CTSB
JUND	F3
NFKB1	IL2RA
STAT4	IL2RA
STAT5A	IL2RA
STAT1	IRF1
STAT4	IRF1
HIF1A	ITGB2
CEBPA	IVL
FLI1	MMP3
ETV4	MMP9
PPARG	MMP9
FOS	NTS
PPARG	PTGS2
MYC	PTMA
SP1	RPL10
RARB	S100A9
NFKB1	SAA2
EGR1	SERPINE1
NFIC	SFTPC
ETS2	SPP1
SP1	TAF7
CREB1	TF
SP1	TFPI2
HOXA4	TH
JUND	TIMP1
CEBPA	TK1
CEBPB	TNF
SP1	TNF
SMAD4	TNNC1
NFKB1	TP53
SP1	TPI1
FOS	TSHB
CEBPA	UBE2L3
ETS1	VWF
ETS2	VWF
NFIC	VWF
SMAD3	ZFP36
