HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
HRAS	MAPK1
MAPK1	MYC
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	TP53
HRAS	JUN
NFKB1	NFKB2
MAPK1	SMAD2
SMAD2	SP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	STAT3
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
MAPK1	STAT1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	ESR1
MAPK1	CREB1
SMAD2	E2F4
MAPK1	SMAD3
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MAPK1	ETS1
MAPK1	ATF2
NFKB1	MYB
HRAS	FOS
HRAS	MAPK14
MAPK14	MAX
JUP	MYC
JUP	CCND1
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
MAPK14	CXCL1
ARNT	EDN1
ARNT	ENO1
YAP1	ID3
YAP1	ID4
YAP1	AXIN2
YAP1	NKD1
WWTR1	AREG
WWTR1	SERPINE1
TCF7	SNAI2
TCF7	SOX2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
STAT5A	SOCS1
STAT6	PIM1
RELA	CCL4L1
RBPJL	HES5
RBPJ	PTCRA
TP53	IGFBP3
TP53	SERPINE1
TP53	SHISA5
TP53	RPRM
TP53	PTEN
RXRA	APOA2
NFYB	HLA-DQA2
NFYC	HLA-DPA1
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	NOS2
MAPK9	IL23A
RFXAP	CD74
SP1	COL4A2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
REL	CSF2
ESR1	FOS
ESR2	FOS
ETS2	FOS
CEBPB	HP
CREB1	HPGD
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
TP53	NME1
MYC	NME2
FOS	NQO1
JUND	NQO1
RELA	NR4A1
MYC	NRAS
JUN	NRAS
MYB	NRAS
TFAP2A	POLD2
