SLC12A2	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
PRKACA	NFKB1
PRKACA	RELA
MAPK1	MYC
NFKB1	TP53
MAPK1	SMAD3
NFKB1	TRAF6
TRAF6	MYD88
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	ESR1
MAPK1	STAT3
PRKACA	MAPK3
MAPK1	FOS
GLI2	WNT2B
GLI3	WNT16
NPAS2	BHLHE41
NPAS2	PER3
CLOCK	RORB
MAPK14	CXCL1
NFKB1	CCL5
MAPK12	IL8
CTNNB1	CCND2
ELK1	BIRC2
MAPK10	SMAD4
RELA	MMP9
CREBBP	PFKFB4
CREBBP	PGF
EP300	PFKFB4
EP300	PGF
LEF1	CCND3
TCF7	SNAI2
TCF7L2	BIRC2
TCF7L2	SOX2
TEAD4	AXIN1
SOS1	SPRED1
SOS1	SPRED3
SOS1	MYC
RELB	CXCL12
PIK3R2	PDPK1
RXRA	GK
RXRA	GK2
RXRA	PLTP
RXRB	ACSBG1
RXRG	FADS2
MAX	CDK4
MAPK8	IL18
MAPK10	TNF
MAPK13	IL1B
MAPK13	IL18
MAPK13	NOS2
USF2	ABCA1
CREB1	ARG1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ETS1	MMP3
JUN	MMP7
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
TFAP2A	POLD2
ATF1	PPP2R4
ATF2	PTGS2
USF2	PTGS2
ESR1	PTMA
POU2F1	SFTPA1
ETS1	SLC26A3
CREM	TH
HOXA5	TH
SMAD3	TNNC1
SP3	TNNC1
