TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	RELA
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	MAPK1
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
PRKACA	NFKB1
MAPK8	JUN
MAPK1	ESR1
MAPK1	STAT3
MAPK1	STAT1
CREBBP	STAT5A
CREBBP	STAT5B
PRKACA	CTNNB1
CTNNB1	LEF1
NFKB1	MYB
MAPK8	SMAD3
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
CREBBP	RBPJL
CREBBP	RBPJ
SMAD3	E2F4
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	PPARA
PRKACA	ATF2
RAPGEF3	MAPK14
MAPK14	CEBPB
PRKACA	CREB1
PRKACA	ATF4
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	RELA
SMAD2	YAP1
MAPK1	TP53
MAPK1	NFKB1
NOS1	HRAS
HRAS	JUN
STAT3	STAT5A
STAT3	STAT5B
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	SMAD3
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
SMAD2	E2F4
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
NOS1	KRAS
KRAS	GRB2
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
NOS3	ATF2
HRAS	MAPK14
NOS3	CREB1
NOS3	ATF4
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
JUP	MYC
CREB3	NPY
CREB1	NPY
ATF6B	NPY
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
MAPK14	CXCL1
MAPK11	IL8
RBPJL	FCER2
HIF1A	BCL2
HIF1A	VEGFA
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
EPAS1	SLC2A1
ETS1	IL8
NFKB2	TRAF6
CREB3	MCL1
PPARA	EHHADH
PPARA	SLC27A1
PPARG	ACSL3
PPARG	ACSL5
RXRB	ACAA1
NFYB	HLA-DRA
MAPK8	IL18
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
PPARG	SAT1
ELK1	CCT8
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CYP17A1
ETS1	DNTT
STAT1	EGFR
PPARA	GADD45B
PPARD	GADD45B
CREB1	GH2
CEBPB	HP
STAT5B	IFNG
EGR1	IGF2
SP1	IL1A
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
TFAP2A	POLD2
NFKB1	PPP2R4
CEBPB	PTGS2
POU2F1	VWF
