TNF	SELE
CREB3	NPY
CREB1	NPY
ATF6B	NPY
ATF4	CRH
MAPK1	PDYN
CREB3L1	CRH
CREB5	FOSB
NR3C2	KRAS
NR3C2	ATP1A3
NR3C2	ATP1B2
NR3C2	SCNN1G
CREB3	FOS
CREB1	FOS
TFDP2	CCNE2
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
MAPK14	CXCL1
ELK1	BIRC3
ELK1	CCND1
EGR3	FASLG
SMAD3	MYC
NFATC2	TNF
RELA	TNF
CREB3L2	PCNA
CREBBP	FIGF
CREBBP	HK1
CREBBP	LDHA
CREBBP	PGK1
CREBBP	SLC2A1
EP300	FIGF
EP300	HK1
EP300	LDHA
EP300	PGK1
EP300	SLC2A1
HIF1A	FIGF
HIF1A	HK1
HIF1A	LDHA
HIF1A	TIMP1
HIF1A	VEGFC
ARNT	EDN1
ARNT	EGF
ARNT	HK2
ARNT	LDHA
ARNT	PFKFB1
ARNT	PFKL
ARNT	PGK1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
LEF1	CCND3
TCF7	SNAI2
TCF7L2	BIRC2
TCF7L2	SOX2
TEAD1	GLI2
TEAD4	AXIN1
SOS1	CCND3
SOS2	SPRY3
HNF1A	HNF4G
RBPJ	HES1
TP53	BAI1
ETS1	CDK4
ETS1	MMP1
ETS1	VEGFC
IRF8	IL12B
CREB3	BCL2
FOXO3	G6PC2
PPARA	APOA2
PPARA	LPL
PPARD	CPT1A
PPARG	PCK1
PPARG	PLIN1
RXRA	CYP4A11
RXRG	EHHADH
IRF7	IFNA8
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB3
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
CREB3L2	AQP2
CREB3L3	AQP2
NFAT5	PTGS2
LEF1	PPARD
LEF1	FOSL1
TCF7	JUN
TCF7	MMP7
TCF7	PPARD
SP1	CDKN1C
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
SP1	CCND1
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
E2F4	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
REL	CSF2
SP3	CTSL
MYC	EIF4E
CREB1	ERBB2
ELK1	ERBB2
TFAP2A	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
E2F1	HIST1H2AM
REL	IFNG
STAT5B	IFNG
EGR1	IGF2
SP1	IL1A
SP1	IL1B
EGR1	IL2
REL	IL2RA
STAT5A	IL2RA
POU2F2	IL4
ETS1	IL5
JUND	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
SPI1	NFKB1
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
TFAP2A	POLD2
EGR1	PTP4A1
USF2	PTPN6
RARG	S100A9
SPI1	SCARB2
CEBPA	SERPINC1
CREB1	SLC9A1
SP1	SOD1
TFAP2A	TAF7
EGR1	TFPI2
POU2F1	TFPI2
TFAP2A	TH
USF1	THBS1
ATF1	TNF
EGR4	TNF
POU2F1	TNF
SP3	TNPO1
E2F4	TOP1
CREB1	TRH
JUN	TXN
USF2	TYMS
