NR3C2	ATP1A3
CREB3L1	ARC
CREB5	ARC
NFKB1	XIAP
RELA	BCL2L1
GLI1	WNT4
GLI1	WNT2
GLI1	WNT11
GLI1	WNT9B
GLI2	WNT16
ATF2	IL8
ATF2	PCNA
ATF4	IL8
NFKB1	TNF
MAPK8	JUN
MAPK8	SMAD4
CREBBP	CDKN1B
CREBBP	EDN1
CREBBP	HK2
CREBBP	SERPINE1
CREBBP	ANGPT4
CREBBP	PDK1
EP300	CDKN1B
EP300	EDN1
EP300	HK2
EP300	SERPINE1
EP300	ANGPT4
EP300	PDK1
HIF1A	CDKN1B
HIF1A	EDN1
HIF1A	HK2
HIF1A	SERPINE1
HIF1A	ANGPT4
HIF1A	PDK1
ARNT	PFKL
LEF1	BIRC2
LEF1	AXIN1
SOS1	CCND3
SOS2	SPRY3
LEF1	MITF
VDR	ATP2B1
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELA	NFKB2
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
PIK3R3	AKT2
ETS1	FIGF
JUN	VEGFC
MAX	CKS1B
MYC	VEGFC
NFKB2	TRAF1
NFKB2	TRAF5
IRF1	IL12A
IRF1	IL12B
FOXO3	CDKN1B
PPARA	CYP4A11
PPARA	DBI
PPARA	ACADM
PPARA	APOC3
PPARA	ACSBG2
PPARG	CPT1B
PPARG	ACSL1
PPARG	PCK2
PPARG	ANGPTL4
RXRA	APOA5
NFYB	HLA-DPA1
NFYC	HLA-DQB1
MAPK1	TNF
MAPK8	IL18
NFAT5	PTGS2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
TCF7	MMP7
TCF7	PPARD
TFAP2A	COL1A1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TFAP2A	GH2
USF1	GH2
USF2	GH2
SP1	GJA1
NFIC	GOT1
POU2F1	HIST2H2BE
FOS	HLA-DRA
CREB1	HMOX1
ETS1	IL5
ATF1	JUN
EGR1	JUN
NFIC	JUN
TFAP2A	KRT14
TFAP2A	KRT5
SP1	LDHA
POU2F1	LPL
JUN	MAT2A
SP3	MAT2B
SP1	RPL15
RELA	S100A6
SPI1	SERPINB1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
ETV4	SPP1
JUN	SPP1
JUN	TFPI2
JUN	TFRC
ATF1	TG
CREB1	TG
SMAD3	TIMP1
SMAD4	TIMP1
ELK1	TNF
ERG	TNNC1
ETS1	TNNC1
FLI1	TNNC1
PAX2	TP53
PAX5	TP53
POU2F1	TXNRD1
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
