AR	PRKACA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
CREBBP	SP1
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK1
MAPK1	ELK1
ELK1	EGR1
NFKB1	NFKB2
MAPK1	JUN
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
NPAS2	BHLHE41
NPAS2	PER3
JUN	CCND2
CREB1	PCNA
CREB3L3	IL8
CREBBP	CDKN1A
CREBBP	TFRC
EP300	CDKN1A
EP300	TFRC
HIF1A	CDKN1A
STAT5B	SOCS4
EPAS1	VEGFC
IRF8	IL12A
PPARA	APOA1
PPARG	OLR1
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK1	NOS2
CEBPB	ABCB1
CREB1	AQP3
CREB1	ARG1
CREM	CCND1
USF1	CTSB
JUN	F3
JUND	F3
CEBPA	PCK2
E2F4	PCNA
MYBL2	RBL1
SP1	RPL10
MYBL2	SP1
ETS2	SPP1
CREB1	TIMP1
JUND	TIMP1
MYC	TP53
NFKB1	TP53
