DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
UMPS	CYP2A6
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	ETS1
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
PRKACA	MAPK3
PRKACA	CREBBP
PRKACA	EP300
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
PRKACA	NFKB1
PRKACA	RELA
NFATC1	TNF
CREBBP	HMOX1
EP300	HMOX1
HIF1A	HMOX1
STAT3	SOCS2
STAT3	CCND3
VDR	S100G
NFKB1	NFKB2
NFKB1	CFLAR
RELA	PTGS2
RELA	VCAM1
RELB	CCL19
PIK3R5	AKT2
PIK3CD	AKT3
PIK3CG	AKT1
PIK3R1	PDPK1
PIK3R3	AKT1
SP1	SERPINB2
NFKB1	TFPI2
ETV4	TNF
USF1	TYMS
