HPRT1	PDE3B
PDE3B	PRKACA
PRKACA	NFKB1
PRKACA	RELA
PRKACA	MAPK1
MAPK1	JUN
MAPK1	FOS
NFKB1	TRAF6
TRAF6	IRF5
MAPK1	STAT3
STAT3	IRF1
PRKACA	MAPK3
PRKACA	MAPK14
PRKACA	MAPK11
PRKACA	MAPK13
PRKACA	MAPK8
PRKACA	MAPK9
PRKACA	MAPK10
TRAF6	MYD88
MAPK1	ELK1
ELK1	EGR1
PRKACA	CREB1
PRKACA	ATF2
MAPK1	ETS1
PRKACA	ATF1
PRKACA	ATF4
NFKB1	CEBPB
PRKACA	CREBBP
CREBBP	SP1
NFKB1	TP53
NFKB1	NFKB2
TNF	VCAM1
CREB3	BDNF
ATF2	BDNF
ATF6B	PDYN
ATF4	PDYN
NPAS2	PER2
CLOCK	RORC
MAPK11	IL8
RBPJL	FCER2
SOS1	CCND1
SOS1	BCL2L1
SOS1	SPRY4
STAT5A	SOCS2
STAT6	CCND1
CREBBP	MITF
EP300	MITF
RBPJL	HES1
TP53	DDB2
TP53	RCHY1
TP53	PIDD
TP53	RFWD2
TP53	ZMAT3
TP53	SIAH1
TP53	THBS1
RELA	VEGFC
STAT1	FIGF
RXRA	ACSBG1
RXRA	SCD
RXRA	SCP2
RXRA	UCP1
RXRA	SCD5
RXRB	APOA5
RXRB	CPT1C
RXRB	CPT1A
RXRB	CPT1B
RXRB	ACSL6
RXRB	GK
RXRB	CYP4A22
RXRB	ACAA1
RXRB	HMGCS2
RXRB	ACADL
RXRB	APOA1
RXRB	APOA2
RXRB	SCD
RXRB	ACSBG2
RXRB	ACOX2
RXRB	ADIPOQ
RXRB	CD36
RXRG	NR1H3
RXRG	CD36
EGR1	CCL5
MAPK1	IL8
MAPK8	IL8
MAX	CDK6
MAX	CCND1
CREBBP	CDKN2B
SMAD2	PITX2
SMAD5	ID2
SMAD5	ID3
SMAD9	ID1
SMAD9	ID3
FOS	IL6
FOS	IL12A
FOS	CCL4L2
FOS	CCL3
FOS	TNF
FOS	CCL4L1
IRF3	CXCL9
IRF3	CD80
IRF5	IL6
IRF5	IL8
IRF5	IL12B
IRF5	CCL3
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA5
IRF7	IFNA7
MAPK3	TNF
MAPK8	IL1A
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
USF1	APEX1
E2F3	CDC45
E2F1	CDC45
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
ATF1	GH2
CREB1	GH2
STAT1	IFNG
USF1	IFNG
TFAP2A	IGFBP3
NFKB1	IRF1
TFAP2A	ITGA2
BRCA1	PCNA
FOS	PDHA1
NFKB1	PPP2R4
CEBPB	PTGS2
