NR3C2	KRAS
KRAS	MAPK1
MAPK1	TP53
MAPK1	CREB1
MAPK1	ATF2
MAPK1	ATF4
MAPK1	CREB3
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
MAPK1	ATF6B
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	SP1
KRAS	RAF1
RAF1	NFKB1
KRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	MYC
MYC	ZBTB17
MYC	PIAS2
MAPK1	ETS1
KRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
PRKACA	CREB1
PRKACA	ATF2
PRKACA	ATF4
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	ATF6B
PRKACA	MAPK1
PRKACA	CREBBP
CREBBP	SP1
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PGR	MAPK8
MAPK8	TP53
PGR	PRKACA
MAPK8	ATF2
MAPK8	SMAD3
SMAD3	E2F4
SMAD3	SP1
MAPK8	NFKB1
PGR	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
PGR	MAPK14
MAPK14	MAX
MAX	PIAS2
MAPK8	ELK1
ELK1	ETS1
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
PRKCA	CREB1
PRKCA	ATF2
PRKCA	ATF4
PRKCA	CREB3
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PRKCA	ATF6B
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
PRKCA	RAF1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
STAT3	MYC
PRKCA	PRKACA
SRD5A1	UGT2B11
UGT2B11	CYP2E1
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	FOXO1
FOXO1	RBL2
RBL2	E2F4
SRD5A1	AKR1C2
AKR1C2	CHRNA7
OGT	AKT3
AKT3	NFKB1
OGT	NR1H3
NR1H3	RXRA
SRD5A2	UGT2B11
SRD5A2	AKR1C2
SRD5A3	UGT2B11
SRD5A3	AKR1C2
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	RAF1
HRAS	PIK3R5
HRAS	PLCE1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	INS
INS	MAPK1
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREB1
CAMK2A	ATF2
CAMK2A	ATF4
CAMK2A	CREB3
CAMK2A	CREB3L2
CAMK2A	CREB3L1
CAMK2A	CREB5
CAMK2A	ATF6B
CAMK2A	CREBBP
MAPK1	NFKB1
INS	NR1H3
CALML6	ADCY1
ADCY1	PRKACA
CACNA1D	INS
CACNA1D	CALML6
CACNA1F	RASGRP3
CACNA1F	PLCD3
PLCD3	PRKCA
PLCD3	PIK3R5
CACNA1S	RASGRP3
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	PIK3R5
INS	IGF1R
IGF1R	PRKACA
CACNA1A	PRKCA
CACNA1G	INS
CACNA1G	CALML6
CACNA1H	NOS1
NOS1	MAPK1
CACNA1H	CALML6
CREBBP	RXRA
CACNA1I	NOS1
CACNA1I	CALML6
GLI3	BMP4
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
MAPK3	CDK4
TP53	PERP
FOS	MMP1
RELA	MYB
PPARD	LPL
RXRA	EHHADH
RXRA	ACSL5
NFYA	HLA-DPB1
RFX5	CD74
RFXAP	LOC100507709
SP1	CAV1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
ERG	HMOX1
PPARG	MMP9
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
