TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
PRKACA	NFKB1
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
MAPK8	JUN
MAPK1	STAT3
MAPK1	STAT1
MAPK1	ESR1
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK8	SMAD3
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
SMAD3	E2F4
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
MAPK14	CXCL1
ATF6B	PCNA
MAPK9	SMAD4
CREBBP	ENO2
CREBBP	PFKFB2
EP300	ENO2
EP300	PFKFB2
HIF1A	ENO2
HIF1A	PFKFB2
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
STAT4	SOCS5
STAT5B	SOCS3
PAX6	PDX1
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
PIK3R1	AKT3
RBPJL	PTCRA
MAPK8	IL18
CREB1	ADRB2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
TFAP2A	POLD2
RARB	S100A8
USF2	SERPINE1
POU2F2	SPP1
ATF1	TH
STAT3	TIMP1
NFKB1	TNNC1
TP53	TP53
ETV4	VIM
