TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
PRKACA	CREBBP
CREBBP	SP1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
PRKACA	NFKB1
NFKB1	MYB
NFKB1	HIF1A
MAPK1	ESR1
PRKACA	RELA
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	EP300
CREBBP	ARNT
MAPK8	JUN
MAPK1	STAT3
MAPK1	STAT1
CREBBP	STAT4
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
CREBBP	STAT5A
CREBBP	STAT5B
MAPK8	FOXO3
CREBBP	RBPJL
CREBBP	RBPJ
CREBBP	STAT2
CREBBP	STAT6
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SP1
SMAD2	YAP1
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	NFKB1
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	RELA
SMAD2	E2F4
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
HRAS	JUN
STAT3	STAT4
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
STAT3	STAT5A
STAT3	STAT5B
MAPK1	FOXO3
MAPK1	SMAD3
STAT3	STAT2
STAT3	STAT6
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
MAPK14	CXCL1
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
PIK3R2	AKT3
NFKB1	FIGF
NFYA	HLA-DOB
NFYC	HLA-DQA2
MAPK8	IL18
USF2	ABCA1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
USF1	CTSB
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
PAX6	PDHX
JUN	PENK
TFAP2A	POLD2
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
