CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	HRAS
HRAS	JUN
PRKCA	MAPK1
MAPK1	ELK1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	SMAD2
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
MAPK1	ESR1
PRKCA	CREB1
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
MAPK1	TP53
ATF6B	ARC
ATF4	ARC
TP53	GADD45B
CREB1	PER1
ARNTL	CRY1
ARNTL	RORA
ARNTL	BHLHE41
JUN	RELA
MYC	CCND1
HIF1A	TFRC
ARNT	ENO1
ARNT	EPO
ARNT	BCL2
ARNT	TF
ARNT	VEGFA
ARNT	HKDC1
STAT3	HIF1A
YAP1	FGF1
YAP1	ID1
YAP1	ID4
YAP1	MYC
YAP1	AREGB
YAP1	NKD1
WWTR1	CTGF
WWTR1	BIRC5
WWTR1	SERPINE1
SMAD1	ID2
SMAD2	SERPINE1
SMAD4	CTGF
PAX6	INS
RBPJL	HES5
BBC3	TP53
TP53	IGFBP3
TP53	RPRM
MYD88	IFNA13
MYD88	IFNA14
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL6
USF2	CTSB
SP1	CTSL
PAX5	FCER2
CEBPA	FN1
TP53	IL8
CEBPA	ITGA2
PPARA	NFKBIA
MYC	NME2
JUND	NQO1
MYC	NRAS
MYB	NRAS
CREM	PLAT
NFIC	PLAT
