PDE3A	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
MAPK8	FOS
MAPK8	ELK1
ELK1	SPI1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
PRKACA	RELA
PRKACA	XBP1
XBP1	CEBPA
NFKB1	TRAF6
TRAF6	MYD88
PRKACA	MAPK1
MAPK1	STAT3
STAT3	IRF1
MAPK8	TP53
MAPK1	MYC
MAPK1	ETS1
TRAF6	IRF7
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	EP300
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
RAPGEF3	MAPK14
MAPK14	CEBPB
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
NFKB1	HIF1A
PRKACA	CREB1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK8	SMAD4
MAPK14	AKT3
AKT3	IRF3
PRKACA	MAPK3
RAPGEF3	MAPK11
RAPGEF3	MAPK13
RAPGEF3	MAPK9
RAPGEF3	MAPK10
TRAF6	IRF5
CREBBP	ARNT
MAPK8	FOXO3
CEBPB	CIITA
CIITA	NFYA
CIITA	NFYB
CIITA	NFYC
CIITA	RFX5
CIITA	RFXAP
CIITA	RFXANK
MAPK1	STAT1
CREBBP	EPAS1
PRKACA	PDX1
PDX1	HNF4A
MAPK8	SMAD3
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	ATF2
PRKACA	ATF1
ELK1	EGR1
MAPK1	ETS2
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
SMAD3	YAP1
PPARA	CPT1C
PPARA	CPT1B
CREB3L2	BDNF
CREB5	NPY
CREB3L1	PDYN
CREB5	ARC
CREB5	FOS
NFKB1	BIRC8
NFKB1	BIRC2
NFKB1	BIRC7
GLI1	WNT16
GLI1	WNT4
GLI1	PTCH1
GLI1	BMP2
GLI1	BMP4
GLI1	WNT6
GLI1	WNT9A
GLI1	WNT9B
GLI1	WNT10A
GLI1	PTCH2
GLI1	WNT3A
GLI2	HHIP
GLI2	BMP4
GLI2	WNT3
TCF7L1	MYC
ESR1	TRPV5
ESR1	SLC8A1
ESR1	CALB1
VDR	SLC8A1
VDR	CALB1
JUN	CCND3
CREB3	IL8
CREB1	IL8
ATF2	PCNA
EP300	FASLG
IRF7	IFNB1
MAPK8	SMAD4
CREB3L3	PCNA
CREB3L1	IL8
CREB5	PCNA
CREBBP	EDN1
CREBBP	FLT1
CREBBP	ANGPT2
CREBBP	PDK1
CREBBP	TIMP1
CREBBP	VEGFA
CREBBP	HKDC1
EP300	EDN1
EP300	FLT1
EP300	ANGPT2
EP300	PDK1
EP300	TIMP1
EP300	VEGFA
EP300	HKDC1
HIF1A	EDN1
HIF1A	FLT1
HIF1A	ANGPT2
HIF1A	PDK1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	CDKN1B
LEF1	CCND2
TCF7	BIRC2
TCF7	CCND3
TCF7L2	SNAI2
TEAD1	CTGF
TEAD4	SOX2
FOXO1	G6PC2
FOXO1	FBP2
SOS1	CCND1
SOS1	BCL2L1
SOS2	SPRED1
STAT4	CCND2
STAT5B	SOCS2
CREB3L3	MITF
VDR	ATP2B1
VDR	TRPV6
NFKB1	CXCL2
NFKB1	GADD45B
NFKB1	NFKBIA
NFKB1	BCL2A1
NFKB1	TNFAIP3
NFKB1	VCAM1
NFKB1	CCL4L1
NFKB2	CCL13
NFKB2	CCL19
RELA	NFKB2
RELA	BCL2A1
RELA	TRAF1
RELB	TNFSF13B
RELB	CCL21
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CA	AKT2
PIK3CD	AKT1
PIK3CD	PDPK1
PIK3CG	AKT2
PIK3R2	AKT2
PLCG2	EGFR
PIK3R3	AKT2
TP53	RFWD2
TP53	ZMAT3
TP53	SIAH1
TP53	THBS1
TP53	TP53I3
NFKB1	VEGFA
RELA	FIGF
EPAS1	FIGF
ETS1	MMP2
ETS1	VEGFA
FOS	IL8
FOS	MMP2
FOS	VEGFC
AR	KLK3
JUN	MMP1
JUN	VEGFB
MYC	MMP1
NFKB1	NOS2
NFKB1	TRAF6
NFKB2	BIRC8
NFKB2	BIRC3
NFKB2	PTGS2
NFKB2	BCL2L1
RELA	TRAF4
CREB1	MCL1
FOXO3	G6PC
NFKB1	MYB
CREB3L2	MCL1
CREB3L1	BCL2
PPARA	NR1H3
PPARA	CPT2
PPARA	ACAA1
PPARA	ME1
PPARA	ACOX2
PPARD	ILK
PPARD	ACOX1
PPARD	ACOX2
PPARG	SORBS1
PPARG	CPT1A
PPARG	LPL
PPARG	SCD
RXRA	CPT1C
RXRA	DBI
RXRA	FABP4
RXRA	ACSL4
RXRA	SCD
RXRA	SCP2
RXRA	FADS2
RXRA	CD36
RXRB	APOA5
RXRB	CPT1C
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	EHHADH
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	ACSL3
RXRB	ACSL6
RXRB	GK
RXRB	HMGCS2
RXRB	ACADL
RXRB	APOA1
RXRB	APOA2
RXRB	SLC27A1
RXRB	LPL
RXRB	ME1
RXRB	SCD
RXRB	SCP2
RXRB	ACSBG2
RXRB	ACOX2
RXRG	NR1H3
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1B
RXRG	CPT2
