TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
ADCY1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
CEBPA	E2F1
MAPK8	TP53
CEBPA	E2F2
CEBPA	E2F3
PRKACA	CREBBP
CREBBP	SP1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
MAPK8	JUN
PRKACA	MAPK1
MAPK1	ESR1
CREBBP	RBPJL
CREBBP	RBPJ
MAPK1	STAT1
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
MAPK1	TP53
RB1	E2F2
RB1	E2F3
SMAD2	SP1
SMAD2	YAP1
GATM	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	JUN
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
CLOCK	BHLHE40
CLOCK	PER2
FOSB	CDK5
FOSB	NFKB1
RBPJ	CR2
RBPJ	FCER2
CTNNB1	CCND3
ATF4	IL8
RELA	IL6
CREBBP	HK2
CREBBP	PFKL
EP300	HK2
EP300	PFKL
HIF1A	HK2
HIF1A	TIMP1
ARNT	EDN1
TEAD1	GLI2
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MYBL2	CDKN1C
POU2F2	REL
E2F4	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
FLI1	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
CREB1	ERBB2
ELK1	ERBB2
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
SP1	PDHA1
PAX6	PDHX
ATF3	PENK
JUN	PENK
ETV4	PTGS2
PPARG	PTGS2
MYC	PTMA
SPI1	SERPINB1
NFIC	SFTPC
JUN	TFPI2
HOXA4	TH
ELK1	TNF
SMAD4	TNNC1
POU2F1	TXNRD1
