CSNK2A1	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
CREBBP	HIF1A
CREBBP	ARNT
CTNNB1	LEF1
LEF1	JUN
CREBBP	CREB3
CREB3	FOS
CREBBP	CREB1
CREBBP	STAT3
CREBBP	STAT1
CREBBP	SP1
CTNNB1	MAGI2
MAGI2	MAPK8
MAPK8	JUND
CTNNB1	VEGFA
VEGFA	EGFR
EGFR	MAPK1
MAPK1	ETS1
CREBBP	SMAD3
LEF1	YAP1
YAP1	SMAD4
PTGS1	ADCY5
ADCY5	PRKACA
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
ADCY5	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
PTGS1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	STAT3
MAPK1	STAT1
MAPK8	SMAD3
MAPK8	SMAD4
PTGS2	ADCY5
PTGS2	PLA2G4B
ELK1	CCND2
MAPK8	JUN
STAT1	MYD88
CREBBP	ANGPT4
CREBBP	TEK
EP300	ANGPT4
EP300	TEK
HIF1A	ANGPT4
RELA	CSF3
ETS1	CSNK2A1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TP53	PTTG1
PPARD	SERPINE1
WT1	SOD1
ATF1	TG
USF2	THBS1
ETS1	TNNC1
CEBPB	TOP1
PAX1	VHL
