TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	MAPK1
MAPK1	MYC
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	MYB
MAPK8	JUN
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	STAT3
MAPK1	STAT1
MAPK1	ESR1
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
HIF1A	TIMP1
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
TEAD1	GLI2
TEAD4	AXIN1
LEF1	MITF
PIK3R2	AKT3
PIK3R2	AKT1
MAPK8	IL18
SP1	COL4A2
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
NFKB1	COL1A1
SP1	COL1A1
USF1	CTSB
SP3	CTSL
ETS1	DNTT
CREB1	ERBB2
ELK1	ERBB2
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
