HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	STAT3
MAPK1	STAT1
HRAS	PIK3R5
PIK3R5	EGFR
EGFR	STAT5A
EGFR	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
MAPK1	ELK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	YAP1
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
MAPK1	CCND1
CCND1	RB1
RB1	TFDP2
PIK3R5	HIF1A
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
FDPS	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
EGFR	CTNNB1
MAPK1	MYC
MAPK1	FOXO3
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	CREB1
SMAD2	TFDP1
MAPK1	CREB3
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
ITGAL	SRC
SRC	HRAS
SRC	STAT3
STAT3	STAT1
STAT3	STAT5A
STAT3	STAT5B
ITGAL	PTK2
PTK2	MAPK1
SRC	CTNNB1
CTNNB1	LEF1
LEF1	YAP1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ITGAL	CRK
CRK	ABL1
ABL1	RB1
SRC	PIK3R5
PTK2	ITGB1
ITGB1	PRKACA
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
SRC	GRB2
CTNNB1	CREBBP
CTNNB1	EP300
STAT3	MYC
STAT3	FOXO3
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
HDAC2	CTBP1
CTBP1	LEF1
LEF1	JUN
HDAC2	HDAC1
HDAC1	FOS
FOS	IL6
IL6	STAT3
HDAC2	RBPJL
RBPJL	MYC
MYC	PIAS2
PIAS2	STAT1
PIAS2	STAT5A
PIAS2	STAT5B
PIAS2	STAT2
PIAS2	STAT4
PIAS2	STAT6
HDAC2	THRB
THRB	GATA4
GATA4	SRF
SRF	ELK1
HDAC2	THRA
THRA	CTNNB1
CREBBP	TP53
CTBP1	TCF7
CTBP1	TCF7L2
CTBP1	TCF7L1
HDAC2	RB1
THRB	HIF1A
THRB	PIK3R5
PIK3R5	PLCE1
EGFR	SOS1
EGFR	SOS2
PIK3R5	AKT3
AKT3	FOXO3
JUN	NFKB1
JUN	RELA
CREBBP	CREB1
RB1	TFDP1
CREBBP	CREB3
CREBBP	ATF2
CREBBP	ATF6B
CREBBP	ATF4
CREBBP	CREB3L2
CREBBP	CREB3L1
CREBBP	CREB5
GLI2	WNT5B
GLI2	PTCH2
GLI2	WNT3A
GLI3	GLI1
JUN	NFKB1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
MAPK9	JUN
RELA	IL6
CREBBP	PFKFB1
CREBBP	PFKL
EP300	PFKFB1
EP300	PFKL
HIF1A	PFKFB1
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD4	ID2
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD1	AXIN2
TEAD4	MYC
TEAD4	SNAI2
TEAD3	CTGF
TEAD3	GLI2
TEAD3	AXIN2
TEAD3	CCND2
TCF7L1	AXIN2
TCF7L1	CCND2
TEAD2	CCND1
TEAD2	SOX2
SMAD4	SLC2A1
FOXO1	G6PC
PAX6	GCK
MAPK3	CDK4
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
PIK3CG	PDPK1
PIK3R3	PDPK1
NFKB1	FIGF
RXRG	FABP3
IRF7	IFNA14
MAPK8	IL18
RFXANK	HLA-DMB
RFXANK	HLA-DOA
SP3	COL2A1
NFKB1	CSF1
TFAP2A	HMOX1
FOS	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
CREB1	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
SP1	SERPINE1
NFIC	SFTPC
PAX8	TG
HOXA4	TH
JUN	TNNC1
SMAD4	TNNC1
ERG	VIM
