DRD2	GNAI1
GNAI1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	CREB1
GNAI1	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GNAI1	RAPGEF3
RAPGEF3	PRKACA
PRKACA	PPARA
MAPK1	TP53
ADRA1A	PRKAG2
PRKAG2	CRTC2
CRTC2	CREBBP
CREBBP	SP1
CRTC2	CREB1
PRKAG2	MTOR
MTOR	PPARG
PPARG	RXRA
PPARG	RXRB
PPARG	RXRG
PRKAG2	PPARGC1A
PPARGC1A	PPARA
CREBBP	TP53
CALM1	CAMK2A
CAMK2A	CREBBP
CAMK2A	CREB1
CREBBP	RXRA
CREBBP	RXRB
CREBBP	RXRG
CALM1	ADCY1
ADCY1	PRKACA
CALM1	HRAS
HRAS	MAPK1
CALM2	CAMK2A
CALM2	ADCY1
CALM2	HRAS
CALM3	CAMK2A
CALM3	ADCY1
CALM3	HRAS
TNNC1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
PLCD3	PRKCA
PRKCA	CREB1
PRKCA	PRKACA
PRKCA	MAPK1
CREB3	NPY
FOS	PGF
FOS	VEGFB
RELA	TRAF6
CREB3L2	BCL2
CREB3L1	MCL1
PPARA	CYP4A22
PPARD	ANGPTL4
PPARD	UCP1
PPARG	SLC27A1
RXRA	FABP1
RXRA	ACSL3
RXRB	PCK1
NFYA	HLA-DPB1
NFYB	HLA-DOA
NFYC	HLA-DQA2
SP1	CAV1
STAT5B	IFNG
