NR3C2	KRAS
KRAS	MAPK1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	CCND1
CCND1	RB1
RB1	E2F1
SMAD2	SP1
MAPK1	MYC
MAPK1	CREB1
KRAS	RAF1
RAF1	NFKB1
NFKB1	MYB
RAF1	RELA
MAPK1	ELK1
ELK1	EGR1
MAPK1	ETS2
KRAS	JUN
KRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
KRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
MAPK1	STAT3
MAPK1	SMAD4
SMAD4	LEF1
MAPK1	ETS1
MAPK1	CREB3
CREB3	ATF1
MAPK1	TP53
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
PRKACA	XBP1
XBP1	CEBPA
PIK3R5	HIF1A
KRAS	FOS
AR	PRKACA
PRKACA	MAPK1
CEBPA	E2F1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	CREB1
PRKACA	NFKB1
PRKACA	RELA
MAPK1	JUN
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PRKACA	CTNNB1
CTNNB1	LEF1
PRKACA	ATF1
NFKB1	TP53
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
NFKB1	HIF1A
MAPK1	FOS
PGR	MAPK8
MAPK8	SMAD3
SMAD3	E2F4
SMAD3	TFDP1
TFDP1	E2F1
SMAD3	SP1
PGR	PIK3R5
PIK3R5	GSK3B
GSK3B	MYC
PGR	PRKACA
MAPK8	NFKB1
MAPK8	RELA
MAPK8	ELK1
ELK1	ETS2
MAPK8	JUN
MAPK8	IL6
IL6	STAT3
MAPK8	SMAD4
ELK1	ETS1
MAPK8	TP53
MAPK8	FOS
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	CCND1
STAT3	ESR1
ESR1	SP1
STAT3	MYC
PRKCA	CREB1
PRKCA	RAF1
PRKCA	HRAS
HRAS	JUN
PRKCA	PRKACA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	CREB3
JAK2	PIK3R5
PRKCA	FOS
SRD5A1	UGT2B11
UGT2B11	UGDH
