COMT	MAOA
MAOA	CYP2C19
CYP2C19	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	MYC
MAPK1	TP53
PRKCA	RAF1
RAF1	NFKB1
RAF1	RELA
PRKCA	HRAS
HRAS	JUN
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
PRKCA	MTOR
MTOR	HIF1A
HIF1A	ARNT
PRKCA	PAX8
PAX8	RXRA
RXRA	RARB
MAPK1	ETS1
MAPK1	STAT3
MAPK1	STAT1
PRKCA	FOS
PRKCA	EGLN2
EGLN2	EPAS1
SMAD2	E2F4
PRKCA	CREB1
PRKCA	ATF4
PRKCA	ATF2
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
MAPK1	ELK1
ELK1	EGR1
SMAD2	YAP1
PRKCA	PRKACA
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
CREB3	ATF1
PRKACA	XBP1
XBP1	CEBPA
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
LEF1	PPARD
HRAS	MAPK8
MAPK8	JUND
MAPK1	ESR1
MAOA	CYP3A4
CYP3A4	CBR1
CBR1	CHRNA7
CHRNA7	JAK2
JAK2	STAT5A
JAK2	STAT5B
PAX8	RXRB
PAX8	RXRG
PRKACA	PPARA
PRKCA	KRAS
KRAS	GRB2
GRB2	SOS1
GRB2	SOS2
MAPK1	SMAD3
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
PRKACA	CREM
PML	JUP
RARA	JUP
STAT3	PIM2
STAT5A	PIM2
STAT5B	PIM2
ZBTB16	JUP
RUNX1	JUP
RUNX1T1	JUP
CREB3L1	CRH
CREB3L1	FOSB
CREB5	CRH
CREB3L1	ARC
NFKB1	BIRC2
RELA	BCL2L1
GLI1	BMP4
GLI1	WNT11
GLI1	WNT3A
GLI3	BMP2
TFDP2	CCNE2
STAT5A	BCL2L1
STAT5B	BCL2L1
CREB1	PER3
CREB1	PER2
ARNTL	CRY2
ARNTL	PER1
ARNTL	RORB
ARNTL	RORC
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	CR2
RBPJ	MYC
CTNNB1	CCND1
ELK1	XIAP
ELK1	CCND1
CREB1	IL8
ATF6B	IL8
ATF6B	PCNA
ATF4	PCNA
NFATC2	TNF
NFKB1	TNF
MAPK8	SMAD4
MAPK9	JUN
CREB3L2	IL8
CREB3L2	PCNA
CREB5	PCNA
CREBBP	ENO1
CREBBP	ENO2
CREBBP	HK3
CREBBP	LDHA
CREBBP	SERPINE1
CREBBP	PDK1
CREBBP	PFKFB1
CREBBP	BCL2
CREBBP	SLC2A1
CREBBP	HKDC1
EP300	ENO1
EP300	ENO2
EP300	HK3
EP300	LDHA
EP300	SERPINE1
EP300	PDK1
EP300	PFKFB1
EP300	BCL2
EP300	SLC2A1
EP300	HKDC1
HIF1A	ENO1
HIF1A	ENO2
HIF1A	HK3
HIF1A	LDHA
HIF1A	SERPINE1
HIF1A	PDK1
HIF1A	PFKFB1
HIF1A	TIMP1
HIF1A	VEGFC
ARNT	EDN1
YAP1	ID2
YAP1	ID3
YAP1	AXIN1
YAP1	AXIN2
WWTR1	ITGB2
WWTR1	AREG
LEF1	CCND3
TCF7	SNAI2
TCF7L2	BIRC2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
SOS1	SPRY3
STAT4	SOCS2
STAT5A	SOCS2
STAT5B	SOCS1
STAT6	CCND1
CREB1	MITF
LEF1	MITF
CREB3L2	MITF
NFKB1	CXCL2
NFKB1	IL1B
NFKB1	NFKBIA
NFKB1	PLAU
NFKB1	TNFAIP3
NFKB1	TRAF1
NFKB1	CCL4L1
NFKB2	TNFSF13B
RELA	NFKB2
RELA	NFKBIA
RELB	TNFSF13B
RELB	ICAM1
PIK3R5	PDPK1
PIK3CA	AKT3
PIK3CG	AKT2
PIK3CG	PDPK1
PIK3R2	AKT3
PIK3R3	AKT2
PIK3R3	PDPK1
EPAS1	VEGFC
FOS	VEGFA
JUN	FIGF
JUN	MMP9
IRF8	IL12A
ATF4	BCL2
CREB3L3	MCL1
PPARA	APOA1
PPARD	ACADL
PPARD	PDPK1
PPARG	OLR1
RXRA	CYP27A1
RXRA	FABP3
RXRG	EHHADH
IRF7	IFNA8
NFYC	HLA-DQA2
MAPK1	IL12B
MAPK1	TNF
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL18
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL12A
MAPK9	IL12B
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
MAPK12	IL1B
RFXANK	HLA-DMA
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB3L4	AQP2
NFAT5	PTGS2
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
ELK1	TWF2
ETS2	TWF2
ETV4	PLAUR
FOS	PLAUR
MYB	TSC22D3
MYBL1	TSC22D3
USF2	ABCA1
SP1	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
SP2	CCND1
SP1	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
