TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	CREBBP
CREBBP	SP1
PRKACA	NFKB1
NFKB1	HIF1A
MAPK8	JUN
PRKACA	RELA
PRKACA	MAPK1
MAPK1	MYC
MAPK8	ELK1
ELK1	EGR1
CREBBP	RXRB
CREBBP	RXRG
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
RBPJ	FCER2
CREBBP	PFKL
PIK3R2	AKT1
MYC	IL8
RELA	TRAF6
PPARA	CYP4A22
PPARG	SLC27A1
NFYA	HLA-DOB
NFYA	HLA-DRB1
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYC	HLA-DQA2
RFX5	HLA-DQA1
RFX5	HLA-DQA2
SP1	COL4A2
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CTSB
SP3	CTSL
ETS1	DNTT
TFAP2A	GPX4
CREB1	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC2
PPARG	PTGS2
HOXA4	TH
