TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	PPARA
PPARA	RXRA
PRKACA	CREBBP
CREBBP	RXRB
CREBBP	RXRG
PRKACA	XBP1
XBP1	CEBPA
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	CREB1
PRKACA	MAPK1
MAPK1	MITF
PRKACA	NFKB1
PRKACA	RELA
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	FOXO3
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
MAPK8	ELK1
ELK1	EGR1
CREBBP	SP1
NFKB1	TRAF6
TRAF6	MYD88
MAPK1	STAT3
MAPK1	STAT1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
CREBBP	RBPJL
RBPJL	HES1
HES1	NEUROG3
NEUROG3	PAX6
TRAF6	IRF7
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
MAPK1	ETS2
MAPK8	JUN
MAPK8	FOXO1
MAPK1	ETS1
MAPK8	FOS
ELK1	SPI1
PRKACA	NFATC1
MAPK8	NFATC3
PRKACA	CALML6
CALML6	PPP3CA
PPP3CA	NFATC4
PRKACA	ATF2
RAPGEF3	MAPK14
MAPK14	CEBPB
PRKACA	MAPK3
RAPGEF3	MAPK11
RAPGEF3	MAPK13
RAPGEF3	MAPK9
RAPGEF3	MAPK10
TRAF6	IRF5
PRKACA	ATF1
MAPK8	JUND
PML	JUP
RARA	JUP
ZBTB16	JUP
RUNX1	JUP
RUNX1T1	JUP
CREB3L4	PDYN
CREB3L2	PDYN
CREB3L3	FOS
CREB3L1	PDYN
CREB5	PDYN
RELA	XIAP
GLI1	WNT16
GLI1	HHIP
GLI1	WNT8B
GLI1	WNT9A
GLI1	WNT5B
GLI3	WNT5A
TCF7L1	MYC
ESR1	SLC8A1
ESR1	CALB1
JUN	IL8
NFKB1	CXCL1
NFKB1	IL8
MAPK11	IL8
RBPJL	FCER2
ATF2	PCNA
IRF7	IFNB1
MAPK8	SMAD4
CREBBP	EDN1
CREBBP	ANGPT2
CREBBP	PDK1
EP300	EDN1
EP300	ANGPT2
EP300	PDK1
HIF1A	EDN1
HIF1A	ANGPT2
HIF1A	PDK1
LEF1	AXIN1
TEAD1	MYC
TEAD4	NKD1
TEAD3	SNAI2
TCF7L1	SNAI2
TEAD2	BIRC2
SOS1	BCL2L1
SOS1	SPRY4
STAT2	CCND2
STAT2	SOCS3
STAT4	SOCS3
STAT5A	SOCS7
STAT5B	CCND3
STAT6	SOCS4
NFKB1	CXCL2
NFKB1	NFKBIA
NFKB1	TNFAIP3
NFKB1	CCL4L1
RELB	TNFSF13B
PIK3R5	PDPK1
PIK3CG	AKT2
NFKB1	VEGFA
NFKB1	VEGFC
ETS1	FIGF
ETS1	IL8
FOS	IL8
JUN	VEGFC
MYC	MMP2
MYC	VEGFC
NFKB1	TRAF6
NFKB2	TRAF1
IRF1	IL12B
CREB3	MCL1
ATF2	MCL1
FOXO3	CDKN1B
NFKB1	MYB
PPARA	CYP4A11
PPARA	APOC3
PPARA	SLC27A1
PPARA	ANGPTL4
PPARA	ACSBG2
PPARD	ILK
PPARG	CPT1B
PPARG	ANGPTL4
PPARG	ACSL5
PPARG	SCD5
RXRA	APOA5
RXRA	DBI
RXRA	SCP2
RXRA	UBC
RXRA	SCD5
RXRB	CPT1C
RXRB	CPT1B
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	EHHADH
RXRB	GK
RXRB	GK2
RXRB	ACAA1
RXRB	ACADL
RXRB	APOA2
RXRB	SLC27A1
RXRB	ACOX2
RXRB	CD36
RXRG	NR1H3
RXRG	SORBS1
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT1B
EGR1	CCL5
MAPK8	IL8
MAX	CCND1
SMAD2	PITX2
SMAD5	ID3
SMAD9	ID3
FOS	IL12A
FOS	CCL3
FOS	CCL4L1
IRF3	CD80
IRF5	IL8
IRF5	CCL3
IRF7	IFNA2
IRF7	IFNA7
NFYB	HLA-DPB1
NFYB	HLA-DQA1
NFYC	HLA-DQB1
MAPK1	IL6
RFX5	HLA-DOA
RFX5	HLA-DOB
MYB	TSC22D3
MYBL1	TSC22D3
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
TFAP2A	ADRA1A
SP1	AKR1B1
POU2F1	AKR1C3
NFIC	ALAS1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
