HRH2	GNAS
GNAS	GNB5
GNB5	MAPK1
MAPK1	TP53
GNAS	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
SRC	PIK3R5
PIK3R5	HIF1A
HIF1A	ARNT
SRC	HRAS
HRAS	JUN
SRC	STAT3
STAT3	ESR1
ESR1	SP1
SRC	RAC1
RAC1	NFKB1
RAC1	RELA
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
STAT3	MYC
SRC	GRB2
GRB2	SOS1
GRB2	SOS2
GNAS	ADCY1
ADCY1	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	CREB1
PRKACA	ATF2
NFKB1	NFKB2
STAT3	STAT1
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	ETS1
MAPK1	ELK1
ELK1	EGR1
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PRKACA	ATF4
CREBBP	MYB
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
HRAS	FOS
GNB5	MAPK14
MAPK14	CEBPB
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
ATF6B	ARC
ATF4	ARC
GLI3	HHIP
TP53	GADD45G
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
STAT5B	BCL2L1
CREB1	PER1
CREB1	PER2
ARNTL	CRY1
ARNTL	PER1
ARNTL	RORA
ARNTL	RORC
ARNTL	BHLHE41
NPAS2	RORC
NPAS2	BHLHE40
CLOCK	RORA
JUN	RELA
MYC	CCND1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	XIAP
ELK1	CCND2
JUN	CCND2
ATF4	PCNA
RELA	IL6
CREB3L2	IL8
STAT1	MYD88
CREB3L3	IL8
CREBBP	HK3
CREBBP	PFKL
CREBBP	BCL2
CREBBP	TEK
CREBBP	TFRC
EP300	HK3
EP300	PFKL
EP300	BCL2
EP300	TEK
EP300	TFRC
HIF1A	HK3
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	TFRC
ARNT	EDN1
ARNT	ENO1
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	ID3
YAP1	ID4
YAP1	AREGB
YAP1	AXIN2
YAP1	NKD1
WWTR1	BIRC5
WWTR1	AREG
WWTR1	SERPINE1
SMAD2	SERPINE1
LEF1	CCND3
TCF7	SNAI2
TCF7	SOX2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	AXIN1
TEAD1	GLI2
TEAD1	BIRC5
TEAD1	CCND2
TEAD4	CTGF
TEAD4	AXIN1
TEAD4	AXIN2
TEAD3	BIRC5
TEAD3	CCND1
TP73	BBC3
TCF7L1	BIRC2
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
PAX6	IAPP
RELA	CCL4L1
RBPJL	HES5
BBC3	TP53
TP53	IGFBP3
TP53	RPRM
FOXO3	G6PC2
ATF4	MCL1
ATF4	BCL2
PPARD	CPT1A
PPARD	FABP3
PPARD	ACADL
RXRA	CYP4A11
RXRA	CYP8B1
RXRA	CYP27A1
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RFXAP	LOC100509457
RFXAP	HLA-DMA
RFXANK	HLA-DMA
USF2	ABCA1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
EGR1	COL2A1
SP3	COL2A1
USF1	CTSB
NFIC	CYP17A1
SP1	DKC1
SP3	DKC1
SP3	DNASE2
MYC	EIF4E
JUN	F3
JUND	F3
CREB1	HMOX1
TFAP2A	HMOX1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
TP53	IL8
CEBPA	ITGA2
FLI1	MMP9
BCL3	NFKB2
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
TP53	NME1
MYC	NME2
FOS	NQO1
JUND	NQO1
RELA	NR4A1
MYC	NRAS
JUN	NRAS
MYB	NRAS
WT1	ODC1
NFIC	PCK2
SP1	PDGFB
CREM	PLAT
NFIC	PLAT
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
USF1	PTPN6
TP53	PTTG1
MYBL2	RBL1
JUN	SERPINB2
NFIC	SFTPC
EGR1	SOD1
WT1	SOD1
MYBL2	SP1
NFIC	TFPI2
HOXA4	TH
EGR1	THBS1
USF2	THBS1
CREB1	TIMP1
ETS1	TNF
SMAD4	TNNC1
TFAP2A	TNPO1
CEBPB	TOP1
MYC	TP53
TP53	TYMS
ETS1	VWF
ETS2	VWF
NFIC	VWF
