AR	PRKACA
PRKACA	PPARA
PPARA	RXRA
RXRA	RARB
PRKACA	CREBBP
PRKACA	EP300
PRKACA	NFKB1
NFKB1	HIF1A
CREBBP	ARNT
CREBBP	SP1
PRKACA	MAPK1
MAPK1	JUN
MAPK1	FOS
PRKACA	GLI2
PRKACA	GLI3
NFKB1	TP53
MAPK1	MYC
MAPK1	ETS1
ETS1	SPI1
PRKACA	RELA
PRKACA	GLI1
NFKB1	BIRC3
RELA	BIRC2
GLI1	WNT1
GLI1	WNT7B
GLI2	GLI1
CREB3	PCNA
CREB3L1	PCNA
CREBBP	VEGFB
EP300	VEGFB
STAT4	SOCS1
STAT5B	CCND1
RELA	TRAF1
PIK3R5	AKT1
PIK3CD	PDPK1
PLCG2	EGFR
RXRA	PLIN1
RXRB	ACSL4
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RARA	AKR1B1
RELA	AKR1B1
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
SP3	CDKN1A
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
TP53	EGFR
JUN	JUN
NFKB1	KLK3
CREB1	LDHA
PPARD	LIPA
SP1	MAT2B
SP1	RELA
USF2	SP1
FOS	TIMP1
HIF1A	TP53
