TUBB1	ARHGEF2
ARHGEF2	RHOA
RHOA	RAF1
RAF1	NFKB1
RAF1	RELA
NFKB1	NFKB2
RHOA	MAPK8
MAPK8	ELK1
MAPK8	JUN
MAPK8	SMAD3
SMAD3	YAP1
SMAD3	SP1
ELK1	EGR1
MAPK8	TP53
MAPK8	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
RAF1	MAPK1
MAPK1	MYC
RHOA	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
RAF1	AKT3
AKT3	NR4A1
NR4A1	RXRA
RAF1	PIK3R5
PIK3R5	THRA
THRA	RXRB
THRA	RXRG
BCL2	APAF1
APAF1	CASP3
CASP3	MAP3K1
MAP3K1	NFKB1
MAP3K1	RELA
CASP3	PAK1
PAK1	MAP3K14
MAP3K14	NFKB2
MAP3K1	MAPK8
BCL2	TP53
TP53	PTEN
PTEN	AKT3
AKT3	JUN
TP53	TP73
TP73	YAP1
YAP1	SMAD2
SMAD2	SP1
YAP1	LEF1
YAP1	TCF7
YAP1	TCF7L2
YAP1	TCF7L1
YAP1	MYC
TP53	THBS1
THBS1	ITGB1
ITGB1	PRKACA
PTEN	PIK3R5
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
TP53	CDKN1A
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
JUN	RELA
FOS	CCND1
HIF1A	TFRC
ARNT	EDN1
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
SMAD2	SERPINE1
VDR	SLC34A2
BBC3	TP53
TP53	SESN3
ETS1	FIGF
IRF1	IL12B
PPARA	APOC3
PPARG	ANGPTL4
NFYC	HLA-DQB1
RFXAP	CD74
ETS2	CDK1
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
TP53	IL8
ATF2	INS
CEBPA	ITGA2
SP1	ITGA2
TAL1	NFKB1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
CREM	PLAT
JUN	PLAT
