AGTR1	GNAQ
GNAQ	HRAS
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	JUN
HRAS	MAPK14
MAPK14	CEBPB
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	XBP1
XBP1	CEBPA
HRAS	MAPK1
MAPK1	ETS1
ETS1	SPI1
MAPK1	CREB1
MAPK1	IFNG
HRAS	MAP3K1
MAP3K1	IKBKG
IKBKG	TBK1
TBK1	REL
PRKACA	CREM
JUN	NFKB1
JUN	RELA
NFKB1	CEBPB
JUN	CDK5
CDK5	PPP1R1B
PPP1R1B	PRKACA
JUN	MAPK8
MAPK8	ELK1
ELK1	SPI1
NFKB1	NOS3
NOS3	CREB1
JUN	IFNG
NFKB1	TRAF3
TRAF3	TBK1
STAT3	CPT1C
NFYB	HLA-DOB
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
WT1	ABCB1
MYC	ID2
