GLI3	HHIP
TP53	SFN
TP53	GADD45B
ZBTB17	CDKN2B
ELK1	XIAP
NFATC2	TNF
CREB3L2	IL8
CREBBP	LDHA
CREBBP	BCL2
EP300	LDHA
EP300	BCL2
HIF1A	LDHA
TEAD4	AXIN2
STAT5A	SOCS7
STAT5A	CCND1
STAT6	SOCS4
STAT6	MYC
MITF	DCT
RBPJL	HES5
TP53	RPRM
RXRA	UBC
RXRB	GK2
MAPK8	IL12A
MAPK8	IL12B
MAPK8	NOS2
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
CEBPA	ALB
SP1	ALB
SP1	ALDH3A1
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP1	DKC1
SP3	DKC1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
POU2F1	HIST2H2BE
FOS	HLA-DRA
CREB1	HMOX1
FLI1	MMP9
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
USF1	PTPN6
CEBPA	SERPINC1
EGR1	SOD1
POU2F1	TFPI2
EGR1	THBS1
POU2F1	TNF
TFAP2A	TNPO1
USF2	TYMS
