ADRA2A	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	SMAD2
SMAD2	SP1
HRAS	JUN
HRAS	PIK3R5
PIK3R5	HIF1A
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
HIF1A	ARNT
MAPK1	CREB1
HRAS	RAF1
RAF1	NFKB1
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
CAMK2A	ATF1
MAPK1	TP53
DDC	GOT1
GOT1	ASS1
ASS1	NOS1
NOS1	MAPK1
NOS1	HRAS
DDC	IDO2
IDO2	CYP1A2
CYP1A2	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MTOR
MTOR	HIF1A
ASS1	NOS3
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
CREBBP	ARNT
NOS3	CREB1
MAPK1	NFKB1
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
PRKCA	PRKACA
CREB3	ATF1
CREB3L4	FOS
JUN	CCND2
CREB3L3	IL8
CREBBP	TFRC
EP300	TFRC
MITF	TYRP1
STAT3	VEGFA
EPAS1	VEGFB
ETS1	VEGFA
FOS	PGF
JUN	PGF
MYC	MMP1
NFKB1	NOS2
NFKB2	XIAP
RELA	TRAF4
PIAS2	CDKN2B
FOXO3	G6PC
CREB3L2	BCL2
CREB5	MCL1
PPARA	ACAA1
PPARA	HMGCS2
PPARA	ACOX2
PPARD	ANGPTL4
PPARD	ACOX3
PPARG	LPL
PPARG	MMP1
RXRA	CPT1C
RXRA	FABP1
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK9	IL12B
MAPK13	TNF
RELA	IL1A
ATF3	ASNS
SP1	CAV1
SP1	CD83
SP3	CD83
STAT3	FOS
ETS1	FOSL1
E2F1	HIST1H2AM
STAT3	IRF1
MYBL2	RBL1
MYBL2	SP1
CREB1	TIMP1
MYC	TP53
