NR3C2	KRAS
KRAS	MAPK1
MAPK1	TP53
TP53	TP73
MAPK1	STAT1
STAT1	MYD88
KRAS	JUN
KRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	SMAD2
SMAD2	SP1
KRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
KRAS	MAPK14
KRAS	MAPK11
KRAS	MAPK13
MAPK1	CREB1
MAPK14	CEBPB
MAPK1	CREB3
MAPK1	ATF2
MAPK1	ATF6B
MAPK1	ATF4
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
KRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
AR	PRKACA
PRKACA	NFKB1
NFKB1	TP53
NFKB1	TRAF6
TRAF6	MYD88
PRKACA	MAPK1
MAPK1	JUN
PRKACA	RELA
PRKACA	CREBBP
CREBBP	SP1
PRKACA	PRKAG2
PRKAG2	MTOR
PRKACA	MAPK14
PRKACA	MAPK11
PRKACA	MAPK13
PRKACA	CREB1
NFKB1	CEBPB
PRKACA	CREB3
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	ATF4
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
PGR	MAPK8
MAPK8	TP53
MAPK8	NFKB1
MAPK8	JUN
MAPK8	RELA
MAPK8	SMAD3
SMAD3	SP1
PGR	PIK3R5
PGR	MAPK14
PGR	MAPK11
PGR	MAPK13
PGR	PRKACA
MAPK8	ATF2
CYP11B2	HSD11B1
HSD11B1	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
HSD11B1	CHRNA7
CHRNA7	JAK2
JAK2	STAT1
PRKCA	HRAS
HRAS	JUN
PRKCA	RAF1
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
PRKCA	MTOR
HRAS	MAPK14
HRAS	MAPK11
HRAS	MAPK13
PRKCA	CREB1
PRKCA	CREB3
PRKCA	ATF2
PRKCA	ATF6B
PRKCA	ATF4
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
PRKCA	PRKACA
PRKCA	PAX8
PAX8	RXRA
PAX8	RXRB
PAX8	RXRG
SRD5A1	UGT2B11
UGT2B11	CYP2E1
SRD5A1	AKR1C2
AKR1C2	CHRNA7
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	AKT3
AKT3	JUN
AKT3	NFKB1
AKT3	RELA
OGT	NR1H3
NR1H3	RXRA
SRD5A2	UGT2B11
SRD5A2	AKR1C2
SRD5A3	UGT2B11
SRD5A3	AKR1C2
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	RAF1
HRAS	PIK3R5
HRAS	PLCE1
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	INS
INS	MAPK1
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	STAT1
CALML6	HRAS
MAPK1	NFKB1
MAPK1	RELA
CAMK2A	CREBBP
INS	PIK3R5
CAMK2A	CREB1
CAMK2A	CREB3
CAMK2A	ATF2
CAMK2A	ATF6B
CAMK2A	ATF4
CAMK2A	CREB3L2
CAMK2A	CREB3L1
CAMK2A	CREB5
CALML6	ADCY1
ADCY1	PRKACA
INS	NR1H3
CACNA1D	INS
CACNA1D	CALML6
CACNA1F	RASGRP3
CACNA1F	PLCD3
