PPARG	RXRA
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	CREB1
CREBBP	TP53
RXRA	SREBF1
SREBF1	PKLR
PKLR	ADCY1
ADCY1	PRKACA
PRKACA	ATF1
RXRA	THRB
THRB	GATA4
GATA4	SRF
SRF	ELK1
CTNNB1	MAGI2
MAGI2	MAPK8
MAPK8	JUND
CTNNB1	LEF1
LEF1	JUN
PRKACA	PPARA
CREBBP	SP1
SRF	ETS1
CREB3L3	FOSB
CREB3L1	CRH
MAPK1	IL18
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
CREM	CCND1
USF2	CEACAM5
CREB1	CGA
JUND	FOSL1
SP1	FOSL1
BRCA1	GADD45A
ESR1	GADD45A
POU5F1	GADD45A
RELA	IL2
REL	IL2RA
