ACHE	GPCPD1
GPCPD1	PLB1
PLB1	PTGS1
PTGS1	ADCY5
ADCY5	PRKACA
PRKACA	RELA
PRKACA	NFKB1
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	CREBBP
CREBBP	SP1
PLB1	PLD1
PLD1	SPHK2
SPHK2	HRAS
HRAS	JUN
PRKACA	EP300
PLD1	PIP5K1C
PIP5K1C	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
CHRNA3	JAK2
JAK2	PIK3R5
PIK3R5	AKT3
AKT3	RELA
AKT3	NFKB1
PIK3R5	PLCE1
PLCE1	PRKACA
JAK2	STAT3
STAT3	ESR1
ESR1	SP1
AKT3	JUN
HIF1A	CREBBP
HIF1A	EP300
HIF1A	ARNT
CHRNA4	JAK2
CHRNA6	JAK2
CHRNA7	JAK2
CHRNA7	PLCD3
PLCD3	PRKCA
PRKCA	PRKACA
CHRNB2	JAK2
CHRNB4	JAK2
RARA	JUP
RUNX1	JUP
RUNX1T1	JUP
ATF6B	PCNA
CREBBP	ENO2
EP300	ENO2
HIF1A	ENO2
RXRG	EHHADH
IRF7	IFNA8
SP1	COL4A2
ELK1	CCT8
SP3	CD14
NFKB1	CSF1
ETS1	CSF2
CREB1	ERBB2
ELK1	ERBB2
TFAP2A	HMOX1
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
RARB	S100A8
POU2F2	SPP1
STAT3	TIMP1
TP53	TP53
