AR	PRKACA
PRKACA	NFKB1
PRKACA	CREBBP
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ELK1
ELK1	EGR1
MAPK1	JUN
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	RELA
MAPK1	ETS1
NFKB1	TP53
MAPK1	ETS2
NFKB1	PPP2CA
PPP2CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	ESR1
MAPK1	STAT3
MAPK1	STAT1
MAPK1	MYC
MAPK1	SMAD3
CREBBP	STAT4
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT6
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
NFKB1	HIF1A
PRKACA	EP300
CREBBP	ARNT
LEF1	PPARD
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
NFKB1	MYB
TP53	TP73
PRKACA	MAPK8
MAPK8	JUND
ETS1	SPI1
PRKACA	XBP1
XBP1	CEBPA
PRKACA	CREB1
CREB3L1	CRH
CREB3L1	FOSB
ATF6B	ARC
ATF4	ARC
GLI3	PTCH1
TFDP2	CCNE2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
JUN	RELA
LEF1	BIRC5
LEF1	CCND1
MAPK14	CXCL1
RBPJ	FCER2
CTNNB1	CCND3
CREB1	IL8
RELA	IL6
CREB5	PCNA
CREBBP	PFKL
CREBBP	HKDC1
EP300	PFKL
EP300	HKDC1
HIF1A	TEK
HIF1A	TFRC
ARNT	EDN1
ARNT	ALDOA
ARNT	BCL2
ARNT	TFRC
ARNT	VEGFA
NFKB1	HIF1A
STAT3	HIF1A
YAP1	BBC3
YAP1	ID1
YAP1	ID3
YAP1	SERPINE1
YAP1	AREGB
YAP1	AXIN2
WWTR1	AFP
WWTR1	BIRC5
WWTR1	AREG
SMAD1	ID3
SMAD2	CTGF
SMAD2	SERPINE1
SMAD4	ID1
TCF7	SNAI2
TCF7	NKD1
TCF7L2	SOX2
TCF7L2	CCND2
TEAD1	GLI2
TEAD1	SNAI2
TEAD1	CCND2
TEAD4	BIRC5
TEAD4	AXIN1
TEAD4	CCND3
TEAD3	BIRC5
TEAD3	AXIN1
TP73	BBC3
TCF7L1	AXIN1
TEAD2	CTGF
TEAD2	MYC
TEAD2	AXIN2
SMAD3	SLC2A1
STAT4	SOCS3
STAT5B	CCND3
CREB3L4	MITF
MITF	TYRP1
EPAS1	SLC2A1
EPAS1	TGFB3
ETS1	VEGFC
HIF1A	PDGFB
MYC	CKS2
NFKB2	TRAF6
NFKB2	BIRC7
RELA	TRAF3
FOXO3	G6PC2
PPARA	EHHADH
PPARA	FABP1
PPARA	ACSBG1
PPARD	CPT1A
PPARG	ACSL3
PPARG	ACSL4
PPARG	GK2
RXRA	CYP4A11
RXRA	SLC27A1
RXRB	ME1
RXRG	FABP4
IRF7	IFNA10
MAPK14	IL1A
MAPK14	IL12B
MAPK14	TNF
MYD88	IFNA5
MYD88	IFNA21
NFYB	HLA-DQA2
NFYB	HLA-DRB1
NFYC	HLA-DQA2
MAPK1	IL1B
MAPK11	IL12B
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL12A
MAPK9	IL12B
TCF7	FOSL1
TCF7L2	JUN
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
USF1	ABCA1
SP1	ADA
SP1	CAV1
SP2	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
STAT3	CSRP1
MYC	CSTB
SP1	CTGF
NFKB1	CTSB
RELA	CTSB
ATF1	ERBB2
REL	IL2RA
RELA	IL2RA
TP53	IL8
CEBPA	ITGA2
ETV4	MMP9
SPI1	NFKB1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
CREM	PLAT
TFAP2A	PLAT
ETS1	PLAU
TFAP2A	POLD2
PPARG	PTGS2
MYC	PTMA
CREB1	REN
NFIC	SFTPC
ETS1	SPP1
HOXA4	TH
JUNB	TIMP1
SMAD4	TNNC1
NFIC	TP53
SMAD3	ZFP36
