CYP3A4	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
PRKCA	MTOR
MTOR	HIF1A
PRKCA	CREB3
CREB3	CREBBP
CREB3	EP300
HIF1A	ARNT
PRKCA	RAF1
RAF1	NFKB1
PRKCA	PRKACA
PRKACA	PPARA
RAF1	RELA
MAPK1	FOXO3
CYP51A1	TM7SF2
TM7SF2	DHCR24
DHCR24	CEL
CEL	PPAP2A
PPAP2A	PRKCE
PRKCE	MAPK8
MAPK8	TP53
CEL	DGKK
DGKK	PLCB1
PLCB1	PIK3R5
PIK3R5	HIF1A
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PRKCE	RAF1
DGKK	PLCE1
PLCE1	PRKACA
MAPK8	FOXO3
GLI3	BMP2
RBPJ	FCER2
CTNNB1	CCND3
RELA	IL6
CREBBP	PFKL
EP300	PFKL
STAT4	SOCS2
STAT5B	SOCS1
MITF	TYRP1
NFKB1	FIGF
ETS2	TWF2
PPARA	MMP9
PPARG	PTGS2
MYC	PTMA
NFIC	SFTPC
HOXA4	TH
SMAD4	TNNC1
