SLC12A2	PRKACA
PRKACA	MAPK1
MAPK1	JUN
MAPK1	MYC
MAPK1	ETS1
MAPK1	FOS
PRKACA	NFKB1
NFKB1	TP53
PRKACA	MAPK3
MAPK1	STAT3
PRKACA	CREBBP
PRKACA	EP300
NFKB1	HIF1A
CREBBP	ARNT
MAPK1	STAT1
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	RELA
NFKB1	PPP2CA
PPP2CA	YAP1
PRKACA	CTNNB1
CTNNB1	LEF1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	MAPK14
MAPK14	MAX
CREBBP	SP1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
MAPK1	ELK1
MAPK1	SMAD3
PRKACA	XBP1
XBP1	CEBPA
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT4
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
NFKB1	MYB
MAPK1	FOXO3
PRKACA	PPARA
CREBBP	STAT2
CREBBP	STAT6
MAPK1	ESR1
MAPK1	SMAD2
MAPK1	SMAD4
PPP2CA	WWTR1
LEF1	PPARD
ATF6B	FOS
ATF4	FOS
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
MAPK14	CXCL1
RBPJ	FCER2
CTNNB1	CCND2
CTNNB1	CCND3
MAPK9	JUN
MAPK10	SMAD4
RELA	IL6
CREBBP	PFKFB1
CREBBP	PFKFB4
CREBBP	PFKL
EP300	PFKFB1
EP300	PFKFB4
EP300	PFKL
HIF1A	PFKFB1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	PGK1
ARNT	CDKN1A
ARNT	EDN1
ARNT	FIGF
ARNT	FLT1
ARNT	HK3
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	BIRC2
YAP1	ID3
YAP1	CCND1
YAP1	SNAI2
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BBC3
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	CCND3
TCF7	SNAI2
TCF7	CCND2
TCF7L2	BIRC2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT3	SOCS2
STAT3	CCND3
MITF	TYRP1
TCF7	MITF
TCF7L2	MITF
MAPK1	CDK4
MAPK3	CDK4
NFKB1	IL1B
NFKB1	PLAU
NFKB1	TRAF1
NFKB2	TNFSF13B
RELA	PTGS2
RELB	ICAM1
RELB	CCL19
PIK3CA	AKT3
PIK3CD	AKT3
PIK3CG	PDPK1
PIK3R1	PDPK1
PIK3R3	PDPK1
RBPJ	HES1
TP53	BAI1
NFKB1	FIGF
NFKB1	VEGFC
MYC	VEGFC
RXRA	ACADL
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
MYD88	IFNA7
NFKB1	CEBPG
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DOA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXANK	HLA-DMA
USF2	B2M
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CEACAM6
ATF4	CGA
NFIC	CGA
TP53	CHEK1
SP3	CHI3L1
TFAP2A	COL1A1
ERG	HMOX1
TFAP2A	HMOX1
ATF2	INS
SP1	ITGA2
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
TFAP2A	POLD2
PPARG	PTGS2
USF2	PTGS2
MYC	PTMA
SP1	SERPINE1
POU2F1	SFTPA1
NFIC	SFTPC
PAX8	TG
CREM	TH
HOXA4	TH
JUN	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
ERG	VIM
ETS1	VWF
ETS2	VWF
NFIC	VWF
NFKB1	VWF
