TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	ATF4
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	ATF2
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF6B
PRKACA	CREB5
PRKACA	PSEN1
PSEN1	ATF6
PRKACA	MAPK1
MAPK1	MYC
PRKACA	CREBBP
CREBBP	SP1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
MAPK8	JUN
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
RAPGEF3	MAPK14
MAPK14	MAX
PRKACA	XBP1
XBP1	CEBPA
PRKACA	NFKB1
NFKB1	MYB
MAPK1	ETS1
NFKB1	HIF1A
PRKACA	ATF1
PRKACA	RELA
PRKACA	EP300
CREBBP	ARNT
MAPK8	ELK1
ELK1	SPI1
MAPK1	ESR1
NFKB1	NFKB2
STAT5A	BCL2L1
CREB1	PER3
ARNTL	CRY2
ARNTL	RORB
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ATF6B	IL8
NFKB1	TNF
CREBBP	ENO1
CREBBP	SERPINE1
EP300	ENO1
EP300	SERPINE1
HIF1A	ENO1
HIF1A	SERPINE1
HIF1A	TIMP1
ARNT	CDKN1A
ARNT	EPO
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
YAP1	ID2
YAP1	MYC
YAP1	AXIN1
WWTR1	CTGF
WWTR1	ITGB2
SMAD1	ID2
SMAD4	CTGF
SOS1	SPRY3
STAT5A	SOCS5
CREB3	MITF
RELA	TRAF1
PIK3CD	PDPK1
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R2	AKT3
PIK3R2	AKT1
PLCG2	EGFR
RXRB	OLR1
MYD88	IFNA6
MYD88	IFNA13
NFYA	HLA-DOB
NFYA	HLA-DPB1
NFYA	HLA-DQA1
MAPK1	IL6
MAPK1	IL12B
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL18
RFX5	CD74
RFXAP	LOC100507709
MAPK12	IL1B
SP1	COL4A2
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
USF2	B2M
TP53	BAK1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
SP1	CDKN1A
USF1	CEACAM6
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF1	CTSB
ETS1	DNTT
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
TFAP2A	HMOX1
MYC	NME1
JUN	NPPA
HIF1A	NR4A1
CREB1	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RARA	S100A8
PPARA	SERPINE1
POU2F1	SPP1
JUN	TFRC
STAT1	TIMP1
ERG	TNNC1
STAT1	TP53
HIF1A	VHL
