TYMS	ITPA
ITPA	ADCY1
ADCY1	PRKACA
PRKACA	CREBBP
CREBBP	SP1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	ELK1
ELK1	EGR1
MAPK8	TP53
MAPK8	SMAD3
SMAD3	E2F4
SMAD3	TFDP1
ELK1	SPI1
PRKACA	NFKB1
NFKB1	HIF1A
NFKB1	TRAF6
TRAF6	IRF7
TRAF6	MYD88
PRKACA	CREB1
PRKACA	RELA
PRKACA	PPARA
PPARA	RXRA
CREBBP	RXRB
CREBBP	RXRG
RAPGEF3	MAPK14
MAPK14	AKT3
AKT3	IRF3
PRKACA	MAPK1
MAPK1	STAT1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
PRKACA	XBP1
XBP1	CEBPA
NFKB1	NFKB2
PRKACA	EP300
CREBBP	ARNT
MYD88	VDR
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
MAPK1	ETS1
NFKB1	IFNG
PRKACA	CREM
NFKB1	TRAF3
TRAF3	TBK1
TBK1	REL
PRKACA	ATF1
MAPK8	JUN
PRKACA	MAPK3
RAPGEF3	MAPK11
RAPGEF3	MAPK13
RAPGEF3	MAPK9
RAPGEF3	MAPK10
MAPK8	FOS
TRAF6	IRF5
PRKACA	GLI1
PRKACA	GLI2
PRKACA	GLI3
MAPK8	FOXO1
MAPK8	FOXO3
RXRA	RARB
PRKACA	ATF2
PPP1CA	WWTR1
MAPK14	CEBPB
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	SMAD2
SMAD2	SP1
MAPK1	ELK1
MAPK1	TP53
SMAD2	E2F4
SMAD2	TFDP1
ETS1	SPI1
MAPK1	NFKB1
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
HRAS	MAP3K1
MAP3K1	CHUK
CHUK	IRF7
STAT1	MYD88
GATM	NOS3
NOS3	CREB1
MAPK1	RELA
MAPK1	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
PIK3R5	AKT3
PIK3R5	MTOR
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
NOS3	CREB3
CREB3	CREBBP
CREB3	EP300
SMAD2	YAP1
MAPK1	IFNG
MAP3K1	IKBKG
IKBKG	TBK1
CREB3	ATF1
HRAS	JUN
NOS1	MAPK3
HRAS	MAPK14
HRAS	MAPK11
HRAS	MAPK13
HRAS	MAPK8
HRAS	MAPK9
HRAS	MAPK10
HRAS	FOS
MAPK1	FOXO1
MAPK1	FOXO3
NOS3	ATF2
SMAD2	WWTR1
STAT3	CPT1A
TNF	VCAM1
CREB3	BDNF
ATF6B	FOS
ATF6B	PDYN
ATF4	FOS
ATF4	PDYN
CREB3L1	FOS
RELA	BIRC7
GLI1	WNT2B
FOS	CCND1
JUN	CCND1
MAPK11	IL8
RBPJL	FCER2
ELK1	BIRC2
CREB1	IL8
RELA	MMP9
CREB5	PCNA
CREBBP	PGF
CREBBP	HKDC1
EP300	PGF
EP300	HKDC1
ARNT	CDKN1A
ARNT	CDKN1B
ARNT	HK3
ARNT	HMOX1
LEF1	BIRC2
LEF1	AXIN1
TEAD1	MYC
SOS1	BCL2L1
SOS1	SPRY4
STAT4	PIM1
CREB3L3	MITF
PIK3CA	AKT2
TP53	SESN3
TP53	DDB2
NFKB1	VEGFC
STAT3	VEGFA
EPAS1	VEGFB
JUN	PGF
MYC	MMP1
MYC	VEGFA
MYC	VEGFC
NFKB2	XIAP
RELA	TRAF4
PIAS2	CDKN2B
CREB3L4	MCL1
FOXO3	CDKN1B
CREB5	MCL1
PPARA	ACAA1
PPARA	HMGCS2
PPARA	SCP2
PPARA	ACSBG2
PPARD	ACOX3
PPARG	LPL
PPARG	MMP1
RXRA	NR1H3
RXRA	APOA5
RXRA	SCP2
RXRA	SCD5
RXRA	ACSBG2
RXRA	ACOX2
RXRA	ACOX3
RXRB	CPT1C
RXRB	CPT1B
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	EHHADH
RXRB	FABP3
RXRB	GK
RXRB	ACAA1
RXRB	ACADL
RXRB	APOA2
RXRB	ACADM
RXRB	APOC3
RXRB	ILK
RXRB	SLC27A1
RXRB	ACOX2
RXRB	CD36
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1B
RXRG	CYP7A1
EGR1	CCL5
MAPK8	IL8
MAX	CCND1
SMAD2	PITX2
SMAD5	ID3
SMAD9	ID3
FOS	IL12A
FOS	CCL3
FOS	CCL4L1
IRF3	CD80
IRF5	IL8
IRF5	CCL3
