ADRA2B	GNAQ
GNAQ	HRAS
HRAS	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	ATF2
MAPK1	CREB1
MAPK1	ATF4
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
HRAS	RAF1
RAF1	NFKB1
SMAD2	SP1
HRAS	PIK3R5
PIK3R5	MTOR
MTOR	PPARG
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
GNAQ	DVL1
DVL1	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
MAPK1	ETS1
RAF1	RELA
GNAQ	PLCB1
PLCB1	CAMK2A
CAMK2A	CREBBP
CAMK2A	EP300
PIK3R5	HIF1A
HIF1A	ARNT
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	MAPK14
MAPK14	CEBPB
MAPK1	STAT1
HRAS	FOS
NFKB1	XIAP
NFKB1	BIRC7
GLI1	WNT2
GLI1	WNT6
GLI2	WNT16
GLI2	HHIP
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ATF2	PCNA
MAPK9	SMAD4
CREBBP	EDN1
CREBBP	PFKFB2
EP300	EDN1
EP300	PFKFB2
HIF1A	EDN1
HIF1A	PFKFB2
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
RELB	CCL13
PIK3CA	AKT1
EPAS1	TGFA
MAX	CKS2
NFKB1	TRAF3
NFKB2	BIRC2
NFKB2	TRAF4
FOXO3	PCK2
CREB3L3	BCL2
PPARA	ACSL1
PPARD	CPT1C
PPARD	UBC
PPARG	ACSBG1
RXRA	CPT2
RXRA	ACSL1
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
RFX5	CD74
RFXAP	LOC100507709
RFXAP	HLA-DOA
RFXANK	HLA-DMB
RFXANK	HLA-DOA
CREB3L2	AQP2
CREB3L3	AQP2
SP3	ABCA1
JUN	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
ATF4	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
ERG	HMOX1
NFIC	JUN
SMAD4	JUN
SP1	LDHA
SP3	LHB
SP3	MAT2B
JUN	MGP
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
RELA	S100A6
USF2	SERPINE1
JUN	SPP1
ATF1	TH
SMAD4	TIMP1
NFKB1	TNNC1
PAX5	TP53
ETV4	VIM
