HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	JUN
HRAS	MAPK1
MAPK1	TP53
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
HRAS	FOS
MAPK1	CREB1
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	PPARA
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
CREB5	BDNF
GLI3	WNT3
NPAS2	PER2
CLOCK	RORC
STAT5A	SOCS7
STAT6	SOCS4
CREBBP	MITF
LEF1	MITF
STAT3	VEGFA
FOS	PGF
NFKB2	XIAP
CREB3L2	BCL2
CREB5	MCL1
PPARD	ANGPTL4
PPARD	ACOX3
RXRA	FABP1
RXRA	UBC
RXRA	UCP1
RXRB	GK2
RXRB	CYP4A22
RXRB	OLR1
MYD88	IFNA8
NFYA	HLA-DPB1
SP2	CD14
CEBPB	IL4
FOS	MT1A
BRCA1	PCNA
FOS	PDHA1
