CES1	UGT2B11
UGT2B11	CYP2E1
CYP2E1	PLA2G4B
PLA2G4B	PRKCA
PRKCA	MAPK1
MAPK1	TP53
UGT2B11	UGDH
UGDH	GYS1
GYS1	OGT
OGT	FOXO1
FOXO1	RBL2
RBL2	E2F4
PRKCA	CREB1
OGT	CRTC2
CRTC2	CREBBP
CREBBP	SP1
PRKCA	ATF2
PRKCA	ATF4
PRKCA	CREB3
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
OGT	AKT3
AKT3	JUN
OGT	NR1H3
NR1H3	RXRA
PRKCA	PAX8
PAX8	RXRB
PAX8	RXRG
PRKCA	MTOR
MTOR	PPARG
OGT	PIK3R5
PIK3R5	HIF1A
AKT3	RELA
CRTC2	EP300
HIF1A	ARNT
OGT	GSK3B
GSK3B	MYC
MAPK1	ETS1
AKT3	NFKB1
PRKCA	FOS
RBL2	TFDP1
MAPK1	STAT3
MAPK1	STAT1
PRKCA	EGLN2
EGLN2	EPAS1
PRKCA	PRKACA
PRKACA	PPARA
CREB3	ATF1
MAPK1	SMAD4
RXRA	RARB
AKT3	PPP1CA
PPP1CA	YAP1
GSK3B	CTNNB1
CTNNB1	LEF1
LEF1	PPARD
MAPK1	SMAD1
MAPK1	SMAD5
MAPK1	SMAD9
PRKACA	XBP1
XBP1	CEBPA
AKT3	CHUK
CHUK	NFKB2
PRKCA	HRAS
HRAS	MAPK8
MAPK8	JUND
MAPK1	ETS2
ETS1	SPI1
PRKACA	CREM
RARA	CCNA1
IFNG	IDO1
CREB3	CRH
CREB1	CRH
ATF2	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
CREB3L2	CRH
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ELK1	CCND1
NFATC2	TNF
NFKB1	TNF
MAPK8	SMAD4
MAPK9	SMAD4
CREB3L2	PCNA
CREBBP	LDHA
CREBBP	SERPINE1
CREBBP	PDK1
CREBBP	PFKFB2
CREBBP	SLC2A1
EP300	LDHA
EP300	SERPINE1
EP300	PDK1
EP300	PFKFB2
EP300	SLC2A1
HIF1A	LDHA
HIF1A	SERPINE1
HIF1A	PDK1
HIF1A	PFKFB2
HIF1A	VEGFA
HIF1A	VEGFC
ARNT	LTBR
ARNT	NOS3
ARNT	PFKFB3
ARNT	PFKL
PAX6	PDX1
CREB1	MITF
MITF	DCT
MAPK3	CCND1
NFKB1	CXCL2
NFKB1	CCL4L2
NFKB1	NFKBIA
NFKB1	PTGS2
NFKB1	TNFAIP3
NFKB1	TRAF2
NFKB1	CCL4L1
NFKB2	ICAM1
RELA	NFKB2
RELA	PLAU
RELB	TNFSF13B
RELB	CCL13
PIK3R5	PDPK1
PIK3CA	AKT1
PIK3CG	AKT2
PIK3R1	AKT3
PIK3R3	AKT2
RBPJL	PTCRA
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
ETS1	VEGFA
ETS1	VEGFC
FOS	VEGFA
FOS	VEGFB
HIF1A	PDGFB
AR	KLK3
JUN	MMP9
MAX	CKS1B
NFKB1	NOS2
NFKB2	TRAF5
NFKB2	BIRC7
FOXO3	G6PC
FOXO3	G6PC2
CREB3L3	MCL1
