DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	CREB1
PRKACA	ATF2
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	ATF4
PRKACA	NFKB1
PRKACA	RELA
MAPK8	JUN
PRKACA	CREB3
PRKACA	ATF6B
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	CREB5
PRKACA	PSEN1
PSEN1	ATF6
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
MAPK8	ELK1
ELK1	EGR1
PRKACA	CREBBP
CREBBP	SP1
NFKB1	NFKB2
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
PRKACA	EP300
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
RAPGEF3	MAPK14
RAPGEF3	MAPK11
RAPGEF3	MAPK13
PTK2B	RAC1
RAC1	NFKB1
NFKB1	TP53
RAC1	MAPK1
MAPK1	CREB1
MAPK1	ATF2
MAPK1	SMAD2
SMAD2	E2F4
MAPK1	ATF4
RAC1	RELA
MAPK1	JUN
MAPK1	CREB3
MAPK1	ATF6B
MAPK1	CREB3L2
MAPK1	CREB3L1
MAPK1	CREB5
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
MAPK1	MYC
MAPK1	ELK1
SMAD2	SP1
MAPK1	FOS
PTK2B	SRC
SRC	CTNNB1
NFKB1	PPP2CA
PPP2CA	YAP1
CTNNB1	CREBBP
CTNNB1	EP300
NFKB1	HIF1A
HIF1A	ARNT
RAC1	MAPK14
RAC1	MAPK11
RAC1	MAPK13
TNF	ICAM1
CREB3	FOSB
CREB1	FOSB
ATF2	FOSB
ATF6B	FOSB
CREB3L4	BDNF
ATF4	BDNF
CREB3L2	FOSB
ATF6B	ARC
ATF4	ARC
TFDP2	CCNE2
NPAS2	RORA
NPAS2	RORC
NPAS2	BHLHE40
NPAS2	NR1D1
CLOCK	CRY2
CLOCK	RORA
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB1	PCNA
MAPK10	JUN
CREBBP	CDKN1A
CREBBP	PFKFB3
EP300	CDKN1A
EP300	PFKFB3
HIF1A	CDKN1A
HIF1A	PFKFB3
HIF1A	TFRC
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	AREGB
WWTR1	BIRC5
SMAD2	SERPINE1
PAX6	GCK
PAX6	INS
MAPK1	CDK4
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
BBC3	TP53
NFYB	HLA-DQA2
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
MAPK1	IL12B
NFKB1	REL
POU2F1	REL
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
USF1	CTSB
SP3	CTSL
SP3	DNASE2
EGR1	EGFR
JUN	F3
JUND	F3
TFAP2A	HMOX1
EGR1	IFNG
STAT5A	IFNG
CEBPB	IGF2
SP1	IGFBP3
CEBPD	IL1A
REL	IL1B
CREM	IL2
NFKB1	IL2
TP53	IL8
CEBPA	ITGA2
SPI1	NFKB1
CREB1	ODC1
WT1	ODC1
NFIC	PCK2
TP53	PCNA
ELK1	PDGFB
SP1	PDGFB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RPL10
JUN	SFTPA1
ETS2	SPP1
CREB1	TH
JUND	TIMP1
SMAD2	TNNC1
NFKB1	TP53
ERG	VWF
