ATP1A1	SLC8A1
SLC8A1	PLCD3
PLCD3	PIK3R5
PIK3R5	HIF1A
HIF1A	CREBBP
CREBBP	SP1
PLCD3	PRKCA
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	SMAD7
PIK3R5	AKT3
AKT3	NFKB1
PRKCA	CREB1
HIF1A	EP300
HIF1A	ARNT
AKT3	RELA
MAPK1	STAT3
SMAD2	E2F4
PRKCA	FOS
MAPK1	ETS1
PIK3R5	HRAS
HRAS	MAPK8
MAPK8	JUND
AKT3	JUN
PIK3R5	GSK3B
GSK3B	GLI1
GSK3B	GLI2
GSK3B	GLI3
PRKCA	PRKACA
PRKACA	PSEN1
PSEN1	ATF6
GSK3B	MYC
PRKACA	PPARA
PRKCA	CREB3
CREB3	ATF1
MAPK1	STAT1
PRKCA	ATF2
PIK3R5	EGFR
EGFR	CTNNB1
CTNNB1	LEF1
PRKCA	ATF4
PRKCA	ATF6B
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	CREB5
MAPK1	SMAD3
MAPK1	ESR1
NFKB1	MYB
CREB3L1	PDYN
CREB5	PDYN
NFKB1	BCL2
RELA	BIRC8
GLI1	WNT16
GLI1	HHIP
GLI1	WNT3
GLI1	WNT7A
GLI1	WNT9A
GLI1	WNT5B
GLI2	WNT4
GLI2	BMP2
TFDP2	CCNE2
STAT5B	BCL2L1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
CREB3	PCNA
ATF2	IL8
CREBBP	FASLG
NFATC2	TNF
CREB3L1	PCNA
CREBBP	CDKN1B
CREBBP	EGF
CREBBP	LDHA
CREBBP	VEGFB
EP300	CDKN1B
EP300	EGF
EP300	LDHA
EP300	VEGFB
HIF1A	CDKN1B
HIF1A	EGF
HIF1A	LDHA
TEAD1	GLI2
TEAD4	AXIN1
SOS1	SPRY3
MITF	TYRP1
MAPK3	CDK4
EPAS1	PGF
RXRA	SLC27A1
RXRG	EHHADH
IRF7	IFNA8
NFYB	LOC101060835
NFYB	HLA-DMA
NFYB	HLA-DRB1
NFYC	HLA-DQA2
MAPK3	IL18
MAPK3	NOS2
MAPK3	IL23A
RFXAP	HLA-DMB
MAPK12	IL1A
SP1	COL4A2
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF2	ABCA1
CREM	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
SP1	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
ATF4	CGA
CREB1	CGA
EGR1	COL2A1
SP3	COL2A1
SP3	CTSL
ERG	HMOX1
TFAP2A	HMOX1
CREB1	JUN
ESR1	JUN
RARB	JUN
SP1	JUN
SP1	KRT5
SP3	LCAT
CREM	LDHC
PPARA	LIPA
ETS1	LYZ
NFKB1	MAT2A
NFIC	MBP
RARA	MIF
SPI1	NFKB1
TP53	NME1
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
SP1	RELA
SP1	RPL15
USF1	S100A6
CEBPA	SERPINC1
USF2	SP1
ETV4	SPP1
LEF1	SPP1
POU2F1	TFPI2
FOS	TIMP1
SMAD3	TIMP1
SP1	TIMP1
POU2F1	TNF
HIF1A	TP53
PAX2	TP53
PAX8	TP53
USF2	TYMS
