TYMS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
ADCY1	PRKACA
PRKACA	NFKB1
NFKB1	HIF1A
PRKACA	RELA
PRKACA	MAPK1
MAPK1	MYC
PRKACA	CREB1
PRKACA	PRKAG2
PRKAG2	MTOR
MTOR	PPARG
MAPK8	ELK1
ELK1	EGR1
MAPK1	ETS1
PRKACA	PPARA
PRKACA	CREBBP
CREBBP	SP1
FPGS	DHFR
DHFR	SHMT1
SHMT1	GATM
GATM	NOS1
NOS1	MAPK1
MAPK1	TP53
NOS1	HRAS
HRAS	PIK3R5
PIK3R5	HIF1A
MAPK1	RELA
MAPK1	NFKB1
GATM	NOS3
NOS3	CREB1
PIK3R5	MTOR
MAPK1	ELK1
DHFR	ATIC
ATIC	HPRT1
HPRT1	PDE3B
PDE3B	PRKACA
MAPK1	SMAD2
SMAD2	SP1
CREB3	NPY
GLI3	BMP2
EP300	HMOX1
STAT4	SOCS2
STAT5B	SOCS1
CREB3	MITF
MITF	TYRP1
TCF7L2	MITF
CREB3L1	MITF
VDR	S100G
NFKB1	NFKB2
RELA	VCAM1
PIK3R3	AKT1
RXRB	SCP2
RXRG	FABP3
IRF7	IFNA14
MYD88	IFNA21
NFYC	HLA-DQA2
MAPK3	IL18
MAPK8	IL18
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
ETS2	TWF2
FLI1	POLR2A
SP2	CCND1
USF1	CTSB
CREB1	CYP11A1
STAT1	EGFR
STAT5B	IFNG
PPARA	MMP9
ETV4	TNF
