PPARG	RXRA
RXRA	THRB
THRB	MYC
RXRA	THRA
THRA	CTNNB1
CTNNB1	CREBBP
CREBBP	TP53
THRB	CCND1
CCND1	RBL1
RBL1	E2F4
CREBBP	SP1
MYC	MAX
CREBBP	MYB
CTNNB1	LEF1
LEF1	JUN
THRB	PIK3R5
PIK3R5	AKT3
AKT3	RELA
AKT3	NFKB1
CREBBP	STAT1
CREBBP	SMAD3
CREBBP	STAT3
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
RXRA	SREBF1
SREBF1	IRS2
IRS2	GRB2
GRB2	MAPK1
MAPK1	ESR1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
LEF1	YAP1
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
GRB2	SOS1
GRB2	SOS2
THRA	NOTCH1
NOTCH1	RBPJL
NOTCH1	RBPJ
CREBBP	CREB1
CREBBP	CREB3
CREBBP	CREB3L2
CREBBP	CREB3L1
CREBBP	ATF4
CREBBP	ATF2
CREBBP	ATF6B
CREBBP	CREB5
THRB	GATA4
GATA4	SRF
SRF	ETS2
PIK3R5	HRAS
HRAS	FOS
SRF	ELK1
ELK1	EGR1
SRF	ETS1
THRB	HIF1A
PTGS2	ADCY5
ADCY5	PRKACA
PRKACA	MAPK1
MAPK1	MYC
ADCY5	RAPGEF3
RAPGEF3	MAPK8
MAPK8	TP53
MAPK8	SMAD3
SMAD3	E2F4
PRKACA	CREBBP
RAPGEF3	MAPK14
MAPK14	MAX
PRKACA	NFKB1
NFKB1	MYB
MAPK8	JUN
PRKACA	RELA
MAPK1	STAT1
MAPK1	STAT3
PRKACA	CTNNB1
SMAD3	YAP1
PRKACA	PTK2
PTK2	GRB2
CREBBP	RBPJL
CREBBP	RBPJ
PRKACA	CREB1
PRKACA	CREB3
PRKACA	CREB3L2
PRKACA	CREB3L1
PRKACA	ATF4
PRKACA	ATF2
PRKACA	ATF6B
PRKACA	CREB5
MAPK1	ETS2
PTGS2	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
MAPK8	ELK1
MAPK1	ETS1
NFKB1	HIF1A
PTGS1	ADCY5
PTGS1	PLA2G4B
ALOX5	PLA2G4B
PRKCA	MAPK1
MAPK1	TP53
MAPK1	SMAD2
SMAD2	E2F4
SMAD2	SP1
PRKCA	HRAS
HRAS	MAPK14
PRKCA	RAF1
RAF1	NFKB1
HRAS	JUN
RAF1	RELA
MAPK1	SMAD3
MAPK1	SMAD4
SMAD4	LEF1
SMAD4	TCF7
SMAD4	TCF7L2
SMAD4	TCF7L1
STAT3	STAT5A
STAT3	STAT5B
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
SMAD2	YAP1
YAP1	TEAD1
YAP1	TEAD4
YAP1	TEAD3
PRKCA	KRAS
KRAS	GRB2
PRKCA	CREB3
CREB3	CREBBP
PRKCA	CREB1
PRKCA	CREB3L2
PRKCA	CREB3L1
PRKCA	ATF4
PRKCA	ATF2
PRKCA	ATF6B
PRKCA	CREB5
MAPK1	ELK1
PRKCA	MTOR
MTOR	HIF1A
JUP	MYC
GLI3	HHIP
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
TCF7	CCND1
TCF7L2	MYC
TCF7L1	BIRC5
ESR1	ATP2B1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
CTNNB1	CCND1
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
PAX6	GCK
PAX6	PDX1
HNF1A	FOXA3
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
RXRA	APOA1
RXRA	ACADM
RXRA	SLC27A1
NFKB1	CEBPB
NFKB1	IL23A
NFYC	HLA-DQA2
MAPK9	IL1B
MAPK9	IL6
MAPK10	IL12B
MAPK10	IL18
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXAP	CD74
MAPK12	IL1A
SP1	COL4A2
CREB1	ADRB2
TP53	CAV1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
USF1	CTSB
SP3	CTSL
ETS1	DNTT
MYC	EIF4E
JUN	F3
JUND	F3
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
CEBPB	HP
FLI1	MMP9
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
