HMGCR	MVK
MVK	PMVK
PMVK	MVD
MVD	FDPS
FDPS	HRAS
HRAS	PLCE1
PLCE1	PRKACA
PRKACA	ATF3
HRAS	MAPK1
MAPK1	ATF4
PRKACA	XBP1
XBP1	CEBPA
HRAS	PIK3R5
PIK3R5	THRA
THRA	RXRA
THRA	RXRB
THRA	RXRG
PIK3R5	MTOR
MTOR	PPARG
MAPK1	FOXO3
HRAS	RAF1
RAF1	NFKB1
RAF1	RELA
MAPK1	FOXO1
MAPK1	SMAD2
SMAD2	SP1
NFKB1	NFKB2
LEF1	AXIN1
RBPJ	HES1
TP53	GTSE1
TP53	BAI1
NFKB1	VEGFC
MYC	VEGFC
NFKB1	CCND1
FOXO3	CDKN1B
FOXO3	PCK1
PPARA	ACSBG2
PPARA	FADS2
RXRA	APOA5
RXRA	CPT1B
RXRG	FABP4
IRF7	IFNA10
MAPK1	IL12A
MAPK1	IL12B
MYBL2	CDKN1C
TFAP2A	COL1A1
USF1	FBP1
