DHODH	UMPS
UMPS	ITPA
ITPA	ADCY1
ADCY1	RAPGEF3
RAPGEF3	MAPK8
MAPK8	JUN
ADCY1	PRKACA
PRKACA	CREBBP
PRKACA	EP300
UMPS	CYP2A6
CYP2A6	CHRNA7
CHRNA7	JAK2
JAK2	STAT3
STAT3	MYC
JAK2	PIK3R5
PIK3R5	HIF1A
CREBBP	ARNT
MAPK8	TP53
CREBBP	SP1
PRKACA	MAPK1
MAPK1	ETS1
CYP2A6	CYP4A11
CYP4A11	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKACA	MAPK3
PRKACA	CTNNB1
CTNNB1	LEF1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
PRKACA	PSEN1
PSEN1	ATF6
ITPA	NPR1
NPR1	PRKG1
PRKG1	PPP1CA
PPP1CA	YAP1
MAPK8	ELK1
PRKACA	NFKB1
JAK2	PTPN11
PTPN11	SOS1
PTPN11	SOS2
PRKACA	RELA
RAPGEF3	MAPK14
MAPK14	MAX
JAK2	STAT5A
JAK2	STAT5B
JAK2	STAT1
JAK2	STAT2
JAK2	STAT4
JAK2	STAT6
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
STAT1	MYD88
PTK2B	RAC1
RAC1	MAPK1
MAPK1	JUN
PTK2B	SRC
SRC	CTNNB1
CTNNB1	CREBBP
CTNNB1	EP300
MAPK1	MYC
RAC1	NFKB1
NFKB1	HIF1A
HIF1A	ARNT
NFKB1	TP53
MAPK1	SMAD2
SMAD2	SP1
SRC	STAT3
MAPK1	FOS
RAC1	MAPK3
PTK2B	PXN
PXN	ITGB1
ITGB1	PRKACA
NFKB1	PPP2CA
PPP2CA	YAP1
MAPK1	ELK1
SRC	GRB2
GRB2	SOS1
GRB2	SOS2
RAC1	RELA
RAC1	MAPK14
STAT3	STAT5A
STAT3	STAT5B
MAPK1	STAT1
STAT3	STAT2
STAT3	STAT4
STAT3	STAT6
NFKB1	TRAF6
TRAF6	MYD88
CREB3L1	NPY
CREB3L1	BDNF
ATF6B	FOS
ATF4	FOS
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
RBPJ	FCER2
CTNNB1	CCND3
JUN	CCND2
EGR3	FASLG
MAPK10	JUN
RELA	IL6
CREB3L3	IL8
CREBBP	FIGF
CREBBP	PFKFB3
CREBBP	PFKL
CREBBP	TFRC
EP300	FIGF
EP300	PFKFB3
EP300	PFKL
EP300	TFRC
HIF1A	FIGF
HIF1A	PFKFB3
ARNT	EGF
ARNT	FIGF
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	CCND1
WWTR1	FGF1
SMAD1	ID4
SMAD4	ID2
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
FOXO1	PCK1
SOS1	SPRY2
SOS1	SPRED1
STAT2	SOCS1
STAT2	SOCS2
STAT2	SOCS5
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND1
STAT5B	MYC
HNF1A	HNF4G
MAPK1	CCND1
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
RXRA	ACADL
NFYC	HLA-DMA
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK3	IL18
RFXAP	HLA-DMA
MAPK12	IL6
USF2	CEACAM6
ATF1	CGA
STAT5B	ESR1
CREB1	HMOX1
TFAP2A	HMOX1
STAT1	IL2RA
STAT3	IL2RA
ATF2	INS
SP1	ITGA2
JUN	PLAT
EGR1	PLAU
ETS2	PLAU
PPARG	PTGS2
MYC	PTMA
MYBL2	RBL1
RARG	S100A9
JUN	SFTPA1
NFIC	SFTPC
MYBL2	SP1
TFAP2A	TAF7
CREB1	TH
HOXA4	TH
CREB1	TIMP1
ATF1	TNF
SMAD2	TNNC1
SMAD4	TNNC1
MYC	TP53
CREB1	TRH
ERG	VWF
